feature,weight
BIAS,448.1182468012762
bp_1,-315.75507915999356
bp_2,14.31346900703089
bp_3,-218.5606425444273
bp_4,-15.936008763366676
bp_5,186.61321166655372
bp_6,-188.50292041578913
bp_7,-66.62480123941427
bp_8,2.275915725724834
bp_9,-106.18459114956732
bp_10,2.4580470657528215
bp_11,-16.208102606255913
bp_12,-36.566822301154524
bp_13,112.91030169283046
bp_14,-19.96837981843777
bp_15,-47.0888457555566
bp_16,-129.70736625654703
bp_17,122.50174787362148
bp_18,12.413437164034905
bp_19,-90.98129211795599
bp_20,73.03479295541511
bp_21,18.368988236507505
bp_22,139.21778736829683
bp_23,-28.0711986494763
bp_24,-36.89558565113974
bp_25,-2.472066009707639
bp_26,2.6685899976373846
bp_27,-72.39674043192957
bp_28,-118.95912008480357
bp_29,75.30430122089503
bp_30,-49.60953402065406
bp_31,-56.92481257859268
bp_32,4.2716749468720705
bp_33,99.65340513230025
bp_34,5.422399296796828
bp_35,-0.9373597909227391
bp_36,-61.9718591394103
bp_37,-52.329512123476086
bp_38,-4.563134933636705
bp_39,-47.979964101734446
bp_40,15.099107307937594
bp_41,12.806801379978452
bp_42,40.54293440339553
bp_43,-5.749268016771406
bp_44,-8.64223044603021
bp_45,14.125064352837724
bp_46,-16.41514786320392
bp_47,-7.196372956777956
bp_48,-0.8713199287005068
bp_49,9.337904681113512
bp_50,46.211889925880264
bp_51,-3.5325809129808277
bp_52,29.773493177144978
bp_53,14.977023526408905
bp_54,11.971164230216635
bp_55,-4.782807148324497
rp_1,-315.75507915999356
rp_2,6.945230433830477
rp_3,-70.30023907733134
rp_4,32.18212468019022
rp_5,12.271703470725079
rp_6,-39.610262163668004
rp_7,131.7958941419743
rp_8,-139.4217148486339
rp_9,-45.59105928277603
rp_10,35.67329801216747
rp_11,83.15759698722987
rp_12,-88.03225637609972
rp_13,16.940324461649045
rp_14,3.6358517218968283
rp_15,102.31659885058032
rp_16,-26.285532111131282
rp_17,50.919482434994435
rp_18,-15.894087541617019
rp_19,19.841536656002898
rp_20,36.898705913595066
rp_21,-26.243853709380442
rp_22,-43.566544258930286
rp_23,-59.180750232148355
rp_24,-62.48297002811035
rp_25,-73.43827369092458
rp_26,-11.815153687289525
rp_27,45.76454349276077
rp_28,-54.9106487699946
rp_29,19.37198771303173
rp_30,-12.033938161266907
rp_31,10.35608347792265
rp_32,-84.09423963479172
rp_33,-13.997508257172676
rp_34,3.736635977726663
rp_35,19.511521604169733
rp_36,-31.455934403167074
rp_37,41.94028166304278
rp_38,-8.629910376908159
rp_39,23.489815146790615
rp_40,-21.967410733048563
rp_41,67.29070910459019
rp_42,0.26140707428329363
rp_43,-35.986324531396036
rp_44,-41.92525560356994
rp_45,-32.58566947784147
rp_46,-15.78347008290661
rp_47,17.03267841683907
rp_48,29.47269968812828
rp_49,-19.78261068735225
rp_50,41.07332500445679
rp_51,8.941814264625183
rp_52,28.71994706535453
rp_53,-27.154304763050742
rp_54,-1.5300785088663649
rp_55,0.053708554747545684
ebv,5.363230895809217
