feature,weight
BIAS,248.9978166460657
bp_1,-175.76391407109895
bp_2,-0.3978276199460282
bp_3,-198.0373407787418
bp_4,43.36286468832299
bp_5,250.27225990096835
bp_6,-217.809020501786
bp_7,-58.791787160881334
bp_8,14.980481074809965
bp_9,-70.28251366258147
bp_10,-3.510660387257684
bp_11,9.609517605753707
bp_12,-22.908389487861097
bp_13,53.14792264043853
bp_14,15.171811202403397
bp_15,-36.36268443500392
bp_16,-7.414034259467977
bp_17,28.196847148806327
bp_18,-17.14648314142744
bp_19,-56.09904061268345
bp_20,2.4562500159358365
bp_21,-2.4239582554345533
bp_22,39.23312893379055
bp_23,4.584231620404491
bp_24,-24.313636336502462
bp_25,5.836681906136208
bp_26,-1.4170455033469767
bp_27,-22.728359534274404
bp_28,-28.62200300625495
bp_29,18.233639343763862
bp_30,0.761863266542529
bp_31,7.777685228571668
bp_32,15.36167366517792
bp_33,-3.7195270812060466
bp_34,0.9810542986130352
bp_35,-6.717932234943804
bp_36,4.203992296713153
bp_37,-1.5395154829047637
bp_38,-0.24552417634897347
bp_39,9.83274901493459
bp_40,4.885666403464016
bp_41,-2.2221736182615808
bp_42,7.225915669154885
bp_43,8.165506262919067
bp_44,-3.886783003396434
bp_45,6.561794745719751
bp_46,-3.037572237280798
bp_47,-6.666733696672689
bp_48,-2.9757133520216503
bp_49,-0.3613595652555418
bp_50,-1.2111860252271942
bp_51,0.3177388739738969
bp_52,3.963613290746866
bp_53,3.990614416152394
bp_54,-1.6515777645764336
bp_55,-0.5800541145583916
rp_1,-175.76391407109895
rp_2,30.728155385849842
rp_3,-106.76147436139676
rp_4,57.834720617448305
rp_5,-54.9957093413627
rp_6,-57.25728910074098
rp_7,189.41514797043985
rp_8,-77.29441057256291
rp_9,-87.06836247428511
rp_10,-72.57522871239128
rp_11,54.99509876514377
rp_12,-41.95096224228882
rp_13,36.3186055645851
rp_14,52.99815094902993
rp_15,69.84365177850239
rp_16,-37.91917876941126
rp_17,-35.973464018707844
rp_18,-22.314669179212192
rp_19,15.211384277955057
rp_20,-5.798538060546241
rp_21,34.5083007060918
rp_22,-18.847299806946435
rp_23,31.042255450284582
rp_24,-56.57636551030164
rp_25,14.649753004815027
rp_26,-24.550971242956653
rp_27,26.37856078802221
rp_28,-28.04768084788277
rp_29,-8.71837210386095
rp_30,-17.48375751667143
rp_31,-14.323919856420067
rp_32,-20.604047476085682
rp_33,-14.501701070559323
rp_34,-16.91103824364995
rp_35,2.915269640214903
rp_36,6.698640338195517
rp_37,8.507915401159023
rp_38,2.4976003735232193
rp_39,-19.56972836819806
rp_40,-12.114574699297668
rp_41,17.428843238461432
rp_42,-5.100163049502609
rp_43,-3.895969164641396
rp_44,-0.3208175127587046
rp_45,-3.950036465414209
rp_46,-1.0172311619037333
rp_47,7.271038315928782
rp_48,2.9366571447259457
rp_49,-0.9429435031123337
rp_50,3.7479174136307396
rp_51,3.550791866568904
rp_52,-5.714629780982015
rp_53,-0.6680274095978458
rp_54,-1.7894546080883873
rp_55,0.4663890219970151
ebv,0.3923146736238279
