iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.012494856491684914,
1,5,3.973008632659912,3.9729719161987305,3.678486973512918e-05,0.006080759689211845,0.048241526331270546
2,7,3.473731517791748,3.472984790802002,0.0007467070827260613,0.018454687669873238,0.12566726152162933
3,9,2.588383674621582,2.5820868015289307,0.006296850275248289,0.0242229625582695,0.2548693929382838
4,12,2.259371519088745,2.245671272277832,0.013700304552912712,0.10431630909442902,0.12711104569184012
5,14,1.6825001239776611,1.65250563621521,0.029994435608386993,0.027547767385840416,0.2553238324185608
6,16,1.4365752935409546,1.3966257572174072,0.039949528872966766,0.01294933445751667,0.1461663074682613
7,18,1.09177565574646,1.0302870273590088,0.061488617211580276,0.01057469006627798,0.24001501302769335
8,20,0.8776078224182129,0.7931141257286072,0.08449366688728333,0.0196051187813282,0.19616469024656716
9,22,0.7653329968452454,0.6691902875900269,0.0961427241563797,0.008862581104040146,0.11227482557296753
10,24,0.7151763439178467,0.6190265417098999,0.09614977240562439,0.006240923888981342,0.05015665292739868
11,26,0.660607099533081,0.5655303597450256,0.09507675468921661,0.006210864055901766,0.054569244384765625
12,28,0.5855108499526978,0.4900702238082886,0.09544063359498978,0.009173897095024586,0.0750962495803833
13,30,0.5380481481552124,0.4388389587402344,0.09920915961265564,0.0076408288441598415,0.04746270179748535
14,32,0.5248000025749207,0.4161691665649414,0.10863084346055984,0.005868188571184874,0.013248145580291748
15,34,0.49284347891807556,0.3789829611778259,0.11386052519083023,0.008943061344325542,0.03195652365684509
16,36,0.46185824275016785,0.34495648741722107,0.11690174788236618,0.007964788936078548,0.030985236167907715
17,38,0.42924821376800537,0.30726587772369385,0.12198232114315033,0.007532894145697355,0.032610028982162476
18,41,0.40567946434020996,0.2765275239944458,0.12915192544460297,0.004277890548110008,0.02356874942779541
19,43,0.38962826132774353,0.2604067325592041,0.12922152876853943,0.0018247163388878107,0.01605120301246643
20,45,0.37357375025749207,0.24359510838985443,0.12997864186763763,0.0015681048389524221,0.016054511070251465
21,47,0.35018789768218994,0.21820561587810516,0.13198229670524597,0.0023632317315787077,0.023385852575302124
22,49,0.3367356061935425,0.19804741442203522,0.13868820667266846,0.007463173940777779,0.013452291488647461
