rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,1618,809,0.971651586740679,0.7367119901112484,0.676847340223988,converged_objective,100,204,4.113692739338148e-06
1e-05,1,1618,809,0.9927758329619059,0.7342398022249691,0.6865621368379582,converged_objective,97,198,1.4170655958878342e-05
1e-05,2,1618,809,0.9728276660863542,0.7626699629171817,0.7040300022075549,converged_objective,98,200,2.7332891477271914e-05
0.0001,0,1618,809,1.3160931947214451,0.7330037082818294,0.6585677642029206,converged_objective,58,121,2.330199276912026e-05
0.0001,1,1618,809,1.342935727890425,0.7330037082818294,0.6679736569090298,converged_objective,58,121,1.9552564481273293e-05
0.0001,2,1618,809,1.3034857962474513,0.7490729295426453,0.6693710412007677,converged_objective,58,119,1.7833981473813765e-05
0.001,0,1618,809,2.6693466545981,0.5327564894932015,0.36580643930358664,converged_objective,26,55,3.3832620829343796e-06
0.001,1,1618,809,2.6883855745222096,0.5265760197775031,0.3625457237911497,converged_objective,26,54,4.219356924295425e-06
0.001,2,1618,809,2.663253805112653,0.5438813349814586,0.3832800671759948,converged_objective,26,55,3.4782278817147017e-06
0.01,0,1618,809,3.8370891631152353,0.21755253399258342,0.10083886459137295,converged_objective,10,22,1.4687422662973404e-05
0.01,1,1618,809,3.8406097024583645,0.22373300370828184,0.10444283862245696,converged_objective,9,22,3.5866629332304e-05
0.01,2,1618,809,3.837432470318049,0.20395550061804696,0.09389379603426426,converged_objective,9,22,3.6932528018951416e-05
0.1,0,1618,809,4.104070060452931,0.07045735475896168,0.027692307692307693,converged_objective,6,29,9.970739483833313e-06
0.1,1,1618,809,4.104472312078501,0.0630407911001236,0.024615384615384615,converged_gradient,5,12,2.0489096641540527e-07
0.1,2,1618,809,4.104049318403504,0.07045735475896168,0.027692307692307693,converged_gradient,5,12,2.123415470123291e-07
