feature,weight
BIAS,211.30866350914178
bp_1,-149.36845079854936
bp_2,-14.452283561072177
bp_3,-147.49322371908147
bp_4,-22.81153704579345
bp_5,240.90395792618506
bp_6,-8.02882920638737
bp_7,-55.371663698222704
bp_8,16.17794171605943
bp_9,-69.06042589537809
bp_10,-87.77018168032306
bp_11,-6.413018869145423
bp_12,28.079420572239993
bp_13,105.31176281609955
bp_14,-6.039160551973947
bp_15,-54.6121642855594
bp_16,-136.72403459252234
bp_17,106.92517540355398
bp_18,49.388174042838436
bp_19,-144.34064880653955
bp_20,37.712621556967434
bp_21,-26.866001995953106
bp_22,166.52885121788864
bp_23,-91.25201461261022
bp_24,12.548145169679398
bp_25,3.117689555201883
bp_26,5.958633823076257
bp_27,-12.52301830944876
bp_28,-123.65338120106004
bp_29,34.58630097479686
bp_30,-18.415439327709016
bp_31,-12.236174356189839
bp_32,25.075754832301993
bp_33,12.032181817481836
bp_34,30.92131758287072
bp_35,9.90632086369038
bp_36,2.8788036214008805
bp_37,0.7313272089258366
bp_38,-27.781977096641214
bp_39,10.313423809096607
bp_40,7.285387890182431
bp_41,-12.588270789752727
bp_42,24.199440496563202
bp_43,18.45763174739863
bp_44,18.720192601715176
bp_45,-5.7186486776273195
bp_46,5.63881349293875
bp_47,-5.740232995504716
bp_48,-8.759764602224513
bp_49,-15.071321621398347
bp_50,-2.96774879012942
bp_51,-10.598675910347914
bp_52,2.7640132672343865
bp_53,2.709326326889934
bp_54,-7.676916311253711
bp_55,1.4024485185813433
rp_1,-149.36845079854936
rp_2,-2.588842058230714
rp_3,-12.559826603568482
rp_4,25.662325185603844
rp_5,-65.17596569271927
rp_6,-82.12862113843312
rp_7,-32.68677917864805
rp_8,-88.39172955165225
rp_9,-26.64713210973311
rp_10,-57.411628414979965
rp_11,91.01332647408246
rp_12,43.96440641261462
rp_13,79.19371380375014
rp_14,-30.026461671473715
rp_15,37.5525797281454
rp_16,-56.41429530529408
rp_17,-38.38077949022465
rp_18,-38.313795172553114
rp_19,7.21802923240875
rp_20,7.515305560070631
rp_21,2.8199791263435507
rp_22,-17.706047130546864
rp_23,0.8320497817981708
rp_24,0.390023273878718
rp_25,-22.44251065943628
rp_26,-3.1295122739820673
rp_27,11.637214069159622
rp_28,-1.3488011639730833
rp_29,-9.188870855534466
rp_30,-12.879976706116128
rp_31,-7.034191545994517
rp_32,25.405523921419174
rp_33,3.840797424233345
rp_34,0.07264539090086711
rp_35,19.30781909185298
rp_36,22.62615544666097
rp_37,-12.911646832277157
rp_38,9.99940260193696
rp_39,-13.677788846609822
rp_40,-7.890480931101139
rp_41,-15.077133991470456
rp_42,0.5728230868011512
rp_43,17.635346884295785
rp_44,-5.964017658648021
rp_45,1.8276067822153363
rp_46,-15.308431236740983
rp_47,7.604104027479564
rp_48,11.795834756585865
rp_49,-5.663020451906577
rp_50,3.8721278178029217
rp_51,-2.6205898199496978
rp_52,-8.590953034258007
rp_53,-4.981490117366383
rp_54,-0.9241097034533748
rp_55,1.4466591769647918
ebv,4.0387517311167604
