rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2959,1480,0.41397654528440414,0.8925675675675676,0.8821365312554796,converged_objective,92,189,1.912014704430476e-05
1e-05,1,2959,1480,0.37244537709874537,0.9209459459459459,0.9118371693299743,converged_objective,91,186,9.58761665970087e-06
1e-05,2,2960,1479,0.36225219806442277,0.914131169709263,0.9080539856910766,converged_objective,91,187,2.3260576199390925e-05
0.0001,0,2959,1480,0.7747200470497642,0.8743243243243243,0.8605166661332824,converged_objective,52,109,1.3363369362195954e-05
0.0001,1,2959,1480,0.7557904917636404,0.893918918918919,0.8742116377343758,converged_objective,53,112,9.009716450236738e-06
0.0001,2,2960,1479,0.7412075787990032,0.8945233265720081,0.8827780666770366,converged_objective,53,112,1.8832681234925985e-05
0.001,0,2959,1480,2.220174031220226,0.7391891891891892,0.6658223479846676,converged_objective,20,46,4.014911246486008e-05
0.001,1,2959,1480,2.224842024486283,0.7432432432432432,0.6693898403824756,converged_objective,21,47,6.478610157500952e-05
0.001,2,2960,1479,2.214268020992714,0.7376605814739688,0.6646062144823922,converged_objective,20,46,3.134470898658037e-05
0.01,0,2959,1480,3.8344880137953856,0.4331081081081081,0.32458328239990236,converged_objective,8,19,6.585964001715183e-06
0.01,1,2959,1480,3.8357119656307557,0.42702702702702705,0.31971629501209287,converged_objective,8,35,4.042871296405792e-06
0.01,2,2960,1479,3.8341528168164842,0.4279918864097363,0.3192562359173375,converged_objective,8,19,6.811227649450302e-06
0.1,0,2959,1480,4.126784170244882,0.30067567567567566,0.2111493637063715,converged_objective,5,27,7.165130227804184e-06
0.1,1,2959,1480,4.12693678625408,0.3087837837837838,0.2176214062883011,converged_objective,5,24,2.7038156986236572e-05
0.1,2,2960,1479,4.12679062511583,0.3076402974983097,0.216499960957157,converged_gradient,3,8,6.603077054023743e-07
