scope,pair,lambda,heldout_cross_entropy,heldout_top1_accuracy,heldout_macro_accuracy,common_pair_coverage
pair,art_to_clipart,10.0,2.1886256843381116,0.46048109965635736,0.4501092621490335,12
pair,art_to_clipart,100.0,2.1741751209235427,0.4639175257731959,0.45357028988846093,12
pair,art_to_clipart,1000.0,2.1640148375901904,0.4753722794959908,0.4640435550134288,12
pair,art_to_clipart,10000.0,2.1656251416506835,0.47193585337915234,0.46052419855289584,12
pair,art_to_product,10.0,0.9052751547306613,0.7668918918918919,0.736611925689087,12
pair,art_to_product,100.0,0.9117565793101379,0.7702702702702703,0.7441979018044748,12
pair,art_to_product,1000.0,0.9441248254924328,0.7545045045045045,0.7298879034357719,12
pair,art_to_product,10000.0,0.9558847948962803,0.7545045045045045,0.7298879034357719,12
pair,art_to_real_world,10.0,0.8237739603818836,0.7901376146788991,0.7707218473490204,12
pair,art_to_real_world,100.0,0.8384339748289611,0.7786697247706422,0.7602326184571957,12
pair,art_to_real_world,1000.0,0.8540331109825953,0.768348623853211,0.7490771010233979,12
pair,art_to_real_world,10000.0,0.8569544067659949,0.7637614678899083,0.7447343284113944,12
pair,clipart_to_art,10.0,1.3927020278029543,0.6481481481481481,0.5802899877899877,12
pair,clipart_to_art,100.0,1.4267651776547603,0.6358024691358025,0.5677625152625152,12
pair,clipart_to_art,1000.0,1.5029251678963607,0.6275720164609053,0.5685286935286936,12
pair,clipart_to_art,10000.0,1.5446133271740903,0.6316872427983539,0.5778663003663003,12
pair,clipart_to_product,10.0,0.956308312582767,0.7635135135135135,0.7332226885733673,12
pair,clipart_to_product,100.0,1.0062776920685748,0.7331081081081081,0.7054693402704834,12
pair,clipart_to_product,1000.0,1.0869953412303968,0.7128378378378378,0.6868007517739597,12
pair,clipart_to_product,10000.0,1.1220350679524291,0.6993243243243243,0.6737418028374208,12
pair,clipart_to_real_world,10.0,0.9679968828011842,0.7488532110091743,0.7300500979531701,12
pair,clipart_to_real_world,100.0,0.9617241773660115,0.7465596330275229,0.7257288005186314,12
pair,clipart_to_real_world,1000.0,1.030705090900981,0.7327981651376146,0.7120464785670787,12
pair,clipart_to_real_world,10000.0,1.058445636053714,0.7247706422018348,0.7053472313587817,12
pair,product_to_art,10.0,1.3867906516440618,0.6584362139917695,0.6021062271062271,12
pair,product_to_art,100.0,1.4038382428357452,0.6481481481481481,0.5979426129426129,12
pair,product_to_art,1000.0,1.4244670619585322,0.6502057613168725,0.592069597069597,12
pair,product_to_art,10000.0,1.4529125968776653,0.6440329218106996,0.5897069597069596,12
pair,product_to_clipart,10.0,2.2283816000340395,0.4627720504009164,0.4456441705340253,12
pair,product_to_clipart,100.0,2.2428948219019205,0.4616265750286369,0.4483159375883834,12
pair,product_to_clipart,1000.0,2.2587274451722252,0.4524627720504009,0.43729495564634885,12
pair,product_to_clipart,10000.0,2.2737503707316087,0.44215349369988544,0.42872285972607477,12
pair,product_to_real_world,10.0,0.8694153461228485,0.7649082568807339,0.7492189969142815,12
pair,product_to_real_world,100.0,0.8636000116397231,0.7626146788990825,0.7481144334615399,12
pair,product_to_real_world,1000.0,0.8817114773021621,0.7591743119266054,0.7438832881283464,12
pair,product_to_real_world,10000.0,0.8918182484100146,0.7580275229357798,0.7437258475297294,12
pair,real_world_to_art,10.0,1.2184392496566399,0.6954732510288066,0.6504456654456654,12
pair,real_world_to_art,100.0,1.234325728620572,0.6954732510288066,0.645964590964591,12
pair,real_world_to_art,1000.0,1.2148992800929006,0.6995884773662552,0.6574542124542124,12
pair,real_world_to_art,10000.0,1.2299965083221396,0.6934156378600823,0.6532661782661783,12
pair,real_world_to_clipart,10.0,2.088413869973753,0.4879725085910653,0.48514111493809037,12
pair,real_world_to_clipart,100.0,2.097946189923099,0.4948453608247423,0.4895529069379987,12
pair,real_world_to_clipart,1000.0,2.0889064884772353,0.48911798396334477,0.4802904480875426,12
pair,real_world_to_clipart,10000.0,2.099227545473897,0.48911798396334477,0.47851762061335773,12
pair,real_world_to_product,10.0,0.7563160264444772,0.7905405405405406,0.7711033269606739,12
pair,real_world_to_product,100.0,0.7263415121130865,0.7916666666666666,0.7742713721672998,12
pair,real_world_to_product,1000.0,0.7560517651517376,0.786036036036036,0.7696915518658791,12
pair,real_world_to_product,10000.0,0.7729289996813309,0.7815315315315315,0.7661467925316461,12
global_equal_pair_mean,ALL_COMMON_PAIRS,10.0,1.3152032305427819,0.6698440250276514,0.6420554426168859,12
global_equal_pair_mean,ALL_COMMON_PAIRS,100.0,1.324006602432178,0.6652252009734688,0.638426943355349,12
global_equal_pair_mean,ALL_COMMON_PAIRS,1000.0,1.3506301576873125,0.6590015641624648,0.632589044716188,12
global_equal_pair_mean,ALL_COMMON_PAIRS,10000.0,1.3686827203324874,0.6545219272416168,0.6293490019447092,12
