source_domain,target_domain,method,lambda,coverage_seeds,heldout_cross_entropy_mean,heldout_cross_entropy_std,heldout_top1_accuracy_mean,heldout_top1_accuracy_std,heldout_macro_accuracy_mean,heldout_macro_accuracy_std,transductive_full_cross_entropy_mean,transductive_full_cross_entropy_std,transductive_full_top1_accuracy_mean,transductive_full_top1_accuracy_std,transductive_full_macro_accuracy_mean,transductive_full_macro_accuracy_std,transductive_unqueried_cross_entropy_mean,transductive_unqueried_cross_entropy_std,transductive_unqueried_top1_accuracy_mean,transductive_unqueried_top1_accuracy_std,transductive_unqueried_macro_accuracy_mean,transductive_unqueried_macro_accuracy_std
art,clipart,random_regularized_wasserstein,10.0,4,2.2470572486212976,0.05849043364245801,0.4372852233676976,0.008279972677434673,0.42718773871533455,0.013907334490656585,2.215407592099303,0.035062585608193246,0.4571592210767469,0.004778156612740941,0.4509793970631942,0.009495038317587306,2.2912292910453367,0.03612531140208922,0.437841043890866,0.004948197773336715,0.4336869087070422,0.00973489989312926
art,clipart,random_uniform,,4,2.1985116948977454,0.045394697174278874,0.4570446735395189,0.010116564566240388,0.4559926964755495,0.012254043521822562,2.171481027311838,0.03323543682573077,0.46649484536082475,0.00750177059795323,0.46729190429209116,0.009619189839508897,2.2369021360616217,0.034662393094967985,0.44750889679715306,0.007768737523147312,0.4502367146290821,0.010118029314346345
art,clipart,source_only_uniform,,4,2.59117169857676,0.05053438343376375,0.3800114547537228,0.00843695295684778,0.38787790191338656,0.011438165304443127,2.612389122750082,0.0,0.3835051546391753,0.0,0.39231014972480077,0.0,2.612389122750082,0.0,0.3835051546391753,0.0,0.39231014972480077,0.0
art,clipart,wasserstein_hard_voronoi,,4,2.2917540769537883,0.037973210492158425,0.4619129438717067,0.010638130367128688,0.4524379327903977,0.010846595349081483,2.2389248929848415,0.007015447641786153,0.48413516609392904,0.007494771043736808,0.4749523286277612,0.006773889199312644,2.3167538649859116,0.007260270969576222,0.46577698695136416,0.007761488874474776,0.45900494196873454,0.00724957077589003
art,clipart,wasserstein_uniform,,4,2.1266380435468557,0.059375950288804887,0.4845360824742268,0.003741106900012477,0.48792976272688704,0.011280739225835366,2.0784904081131077,0.01038769247511675,0.5049828178694158,0.004707611131279369,0.5049213765844565,0.007886696612027639,2.1399255589880974,0.010724545583723637,0.48736654804270463,0.004875141776520655,0.48907652755595743,0.007809400915746057
art,product,random_regularized_wasserstein,10.0,4,0.9173834231297288,0.06905394508190782,0.7581644144144144,0.009703653119152089,0.7375783088402164,0.012700932826776184,0.8973038134367877,0.03293107511706301,0.7684163099797252,0.0077777321476152515,0.7484350200737215,0.002410954478068444,0.9263637592357932,0.03434104262021975,0.7603170902308231,0.008049744230185164,0.740976944127351,0.002245582033901439
art,product,random_uniform,,4,0.9912034230710245,0.031024416345205173,0.7440878378378378,0.009119767727669916,0.7280146724422147,0.009398002300890284,0.974578266701135,0.020647443544570807,0.7501126379815274,0.001532042183908038,0.7347599578549003,0.0018061554871382467,1.0017645340436694,0.021861526008107587,0.7413732804849615,0.0015856225820395492,0.72644703598915,0.0021104611972585494
art,product,source_only_uniform,,4,1.2697775789988517,0.01968057986778284,0.6748310810810811,0.011534778951058141,0.6671644429503444,0.008010560673659866,1.2875839444162633,0.0,0.668168506420365,0.0,0.6616806600728523,0.0,1.2875839444162633,0.0,0.668168506420365,0.0,0.6616806600728523,0.0
art,product,wasserstein_hard_voronoi,,4,0.8522860397796155,0.038933128848534906,0.7874436936936937,0.012280283635852573,0.7639859279073973,0.012723088362078949,0.8191997469719305,0.009761200815574106,0.7973079522414959,0.005401536367083729,0.777300637790149,0.0024428276260344767,0.846607124964525,0.010140855464247893,0.7902191653065983,0.005590445309742283,0.7706499466956642,0.0024075443223543136
art,product,wasserstein_uniform,,4,0.9527258940334932,0.013732216494157668,0.7454954954954955,0.014797600108428713,0.7310284266354163,0.009090333452244092,0.9255021848234295,0.007724899120667184,0.7551813471502591,0.003748775237983194,0.7437737850802708,0.002516568622396042,0.9516684140629719,0.008155254368468003,0.7469107017952903,0.003800252795025295,0.7359571636374218,0.0025002598537317783
art,real_world,random_regularized_wasserstein,10.0,4,0.7948957529629785,0.04214943496028938,0.7875573394495413,0.006967785219250105,0.7690651024738009,0.0065232355530378296,0.7888243708788621,0.015749909981363195,0.7863208629791141,0.003490852894667532,0.7672336518859396,0.002644023172952328,0.8132109758745755,0.016446020696313245,0.778702163061564,0.0036153187692100283,0.7598307493982053,0.002780698734105891
art,real_world,random_uniform,,4,0.8188209843171783,0.05000910870559038,0.7789564220183486,0.007215055844104299,0.7586121448145143,0.0064166967006145164,0.8158193117333314,0.015421240789132816,0.7775992655496902,0.004714858522876779,0.7579377326486778,0.003637917605192333,0.8391956788241184,0.01631939437768288,0.7699072973615403,0.005204108033808102,0.75039824511788,0.004214854325855211
art,real_world,source_only_uniform,,4,0.900692213504408,0.04798400655182061,0.755447247706422,0.00854979711251719,0.7363614230197046,0.008323364672823796,0.9199568657179737,0.0,0.748909800321322,0.0,0.7292759105709614,0.0,0.9199568657179737,0.0,0.748909800321322,0.0,0.7292759105709614,0.0
art,real_world,wasserstein_hard_voronoi,,4,0.8380003280326163,0.023023562500431104,0.7889908256880733,0.009363492900547297,0.7695879239175261,0.008169740277127004,0.8272875134919382,0.012807262319435892,0.7886733991278403,0.0047496447295329045,0.7682712051413126,0.005362274978074776,0.855355941854439,0.013200961751314784,0.7811385785595436,0.00491899265190753,0.7612931472064796,0.005618382034198511
art,real_world,wasserstein_uniform,,4,0.8164590854670057,0.03856169784399718,0.7778096330275229,0.003671516191188559,0.7583205532361581,0.004998474111881205,0.817177376383454,0.007859858200582104,0.7783451916456277,0.002599208550127638,0.7586875706710483,0.0030377585258510786,0.8420770065878502,0.008257573546935928,0.7707392441169479,0.0027754187288070655,0.7512490188405249,0.0032950122806740486
