method,lambda,coverage_runs,coverage_pairs,coverage_seeds,heldout_cross_entropy_mean,heldout_cross_entropy_std,heldout_top1_accuracy_mean,heldout_top1_accuracy_std,heldout_macro_accuracy_mean,heldout_macro_accuracy_std,transductive_full_cross_entropy_mean,transductive_full_cross_entropy_std,transductive_full_top1_accuracy_mean,transductive_full_top1_accuracy_std,transductive_full_macro_accuracy_mean,transductive_full_macro_accuracy_std,transductive_unqueried_cross_entropy_mean,transductive_unqueried_cross_entropy_std,transductive_unqueried_top1_accuracy_mean,transductive_unqueried_top1_accuracy_std,transductive_unqueried_macro_accuracy_mean,transductive_unqueried_macro_accuracy_std
random_regularized_wasserstein,10.0,48,12,4,1.338108347200503,0.5642025528442627,0.6581377063128876,0.131908055095765,0.6297442154808864,0.13150378791895348,1.2948346976274387,0.5508485364091874,0.6720199605239533,0.12599288386907617,0.6477860669425177,0.12276860917831588,1.3459342752057317,0.570670168846491,0.6579144129618909,0.13062513295551129,0.6338228713081603,0.12753657941030563
random_uniform,,48,12,4,1.3920816389858652,0.5396209008606755,0.6448360020925185,0.1245934288791307,0.622471811136523,0.12225398968607225,1.3561596040443427,0.5274315699132569,0.6563657502193515,0.12076003083099819,0.6368651803838216,0.1167700700504079,1.3996904120399734,0.5434145910073837,0.6421654150911563,0.12516806125193417,0.6227173517604999,0.12125851606950627
source_only_uniform,,48,12,4,1.6067899873503297,0.6400456062377509,0.5966706509929103,0.1390924907509459,0.5806238958820302,0.1340390576215579,1.610829901440758,0.6376344421275049,0.5961732321543254,0.13650238222673905,0.5819734012868758,0.13071100855682696,1.610829901440758,0.6376344421275049,0.5961732321543254,0.13650238222673905,0.5819734012868758,0.13071100855682696
wasserstein_hard_voronoi,,48,12,4,1.3098747411555711,0.568910501282704,0.674046028756424,0.13157822328843524,0.6412136475324883,0.13429137505652933,1.2555078032030182,0.5495668237327491,0.6907318060723168,0.12351293618493991,0.6604212834994933,0.12474878005352098,1.3077048806298295,0.5703274727490255,0.6772562493798603,0.12848929567982595,0.6486211697946666,0.12914078886381714
wasserstein_uniform,,48,12,4,1.3387130740976534,0.5172680940447668,0.6568243964747243,0.11935568179063855,0.6334636556196377,0.11799149130410494,1.2904987441111533,0.4966843653757134,0.6739153530694305,0.1106434434590495,0.6516708429014356,0.10862914891278164,1.331873134766799,0.5110925857620693,0.6603759252835505,0.11483285993746865,0.6392350060651733,0.1124292878732047
