feature,weight
BIAS,326.86664722904044
bp_1,-231.66873569453404
bp_2,-3.522169838292925
bp_3,-183.8153576926793
bp_4,18.80313876527628
bp_5,274.57481619012646
bp_6,-181.9893611841319
bp_7,-27.914682039855883
bp_8,29.228624138930254
bp_9,-87.80204576103161
bp_10,-29.850759647615977
bp_11,-12.64699160562963
bp_12,-15.59686392423934
bp_13,55.62916173078553
bp_14,6.705526182461359
bp_15,-53.83173026969321
bp_16,-49.66490176853769
bp_17,46.27180747867194
bp_18,15.737596362646988
bp_19,-85.46084917893957
bp_20,30.300989986055487
bp_21,3.3134554931179676
bp_22,78.04341040000054
bp_23,-13.80182887685205
bp_24,-9.093328901830521
bp_25,2.8998742224063294
bp_26,-15.324119402482202
bp_27,-24.8499862796471
bp_28,-69.0919293982821
bp_29,14.736522688602369
bp_30,0.6529859942561986
bp_31,-3.878845641855018
bp_32,39.66715936316116
bp_33,-5.223710430001352
bp_34,4.728759883026356
bp_35,23.321417614182877
bp_36,-0.4270702056219849
bp_37,-11.868628259070489
bp_38,-6.339941623964328
bp_39,-5.238738103289518
bp_40,-8.352234882390325
bp_41,-5.501240076136606
bp_42,28.039008827228468
bp_43,5.243743921249199
bp_44,15.100607492763547
bp_45,-2.135079297171626
bp_46,5.51870793918891
bp_47,1.0274587767881784
bp_48,-6.010430674915329
bp_49,-4.600779821885324
bp_50,2.0100684771454556
bp_51,-1.0115733129599525
bp_52,3.06590583940715
bp_53,2.719116779958742
bp_54,-1.8988604148245343
bp_55,-0.9149969678992191
rp_1,-231.66873569453404
rp_2,-3.4288264577096865
rp_3,-60.7350379022707
rp_4,29.782574004896897
rp_5,-45.41916866209409
rp_6,-104.62660761124312
rp_7,139.54121804565557
rp_8,-98.19419338610783
rp_9,-77.73781056360689
rp_10,-66.18930593979904
rp_11,46.9754650845634
rp_12,-33.42585395938352
rp_13,2.4236259027578537
rp_14,37.2823582403564
rp_15,91.11384179966173
rp_16,-48.625666572200124
rp_17,-31.390090479741257
rp_18,-15.691500210507835
rp_19,26.205178562407923
rp_20,-10.909214065533074
rp_21,34.9145595264381
rp_22,-13.3811776663331
rp_23,34.555849843538184
rp_24,-50.40595905910198
rp_25,-1.6269831159869672
rp_26,-20.832285261265074
rp_27,35.56313742851751
rp_28,-15.645390222595134
rp_29,-0.23910119860094387
rp_30,-17.357693280509302
rp_31,1.1405176706902869
rp_32,-18.052438223929876
rp_33,-4.568172702001498
rp_34,-12.023487928509887
rp_35,11.500088688153602
rp_36,3.275876563691666
rp_37,13.499689615793356
rp_38,10.754033414015435
rp_39,-12.93428944187128
rp_40,-3.151619157670024
rp_41,16.6065227426816
rp_42,-9.563561415173622
rp_43,-10.847169861273917
rp_44,5.065060678064863
rp_45,0.28085861136339446
rp_46,9.798539556234367
rp_47,6.2894051199348455
rp_48,5.251698309648113
rp_49,-1.8076082184134725
rp_50,3.0491958946407984
rp_51,0.02400318602846927
rp_52,-6.817435806454688
rp_53,1.291837469500002
rp_54,-3.130252159361914
rp_55,2.4064041246433483
ebv,6.525061799584431
