feature,weight
BIAS,316.617690971488
bp_1,-224.20758838548525
bp_2,1.837023209758269
bp_3,-197.41251895046676
bp_4,36.50613385521981
bp_5,273.1668893735793
bp_6,-199.06949975110984
bp_7,-45.530654056939
bp_8,15.906417529703546
bp_9,-81.21683429348224
bp_10,-15.842833390266396
bp_11,2.964190137741524
bp_12,-20.544600733468926
bp_13,60.60677618436439
bp_14,10.24294323704785
bp_15,-49.22465333161701
bp_16,-33.49244233756302
bp_17,37.36771582300546
bp_18,-2.127578631877141
bp_19,-85.00826727596973
bp_20,23.14826102181902
bp_21,-4.420219923459994
bp_22,57.68328991594183
bp_23,-0.3308804878170798
bp_24,-16.624592247082393
bp_25,4.79881238980119
bp_26,-15.507535284057806
bp_27,-27.07554270229045
bp_28,-67.3634935482145
bp_29,24.25154901984675
bp_30,-7.127472006642578
bp_31,0.7877630345144807
bp_32,33.47003471855736
bp_33,-1.7525375645346841
bp_34,5.38760501648083
bp_35,10.15295780658378
bp_36,-2.284182772603702
bp_37,-5.513638956743255
bp_38,-10.572543681821926
bp_39,5.961998140537565
bp_40,0.8127311667166406
bp_41,-5.187832809469417
bp_42,16.028777374793847
bp_43,9.104955283910396
bp_44,3.135232631061003
bp_45,6.4631300691771365
bp_46,-0.4530076788623774
bp_47,-3.832949585919984
bp_48,-10.081934362721764
bp_49,-4.492020834783704
bp_50,2.658792793157083
bp_51,-1.1083257227489884
bp_52,3.5517657443922133
bp_53,3.972191729310168
bp_54,-2.472346462365508
bp_55,-0.757096778267608
rp_1,-224.20758838548525
rp_2,7.976249255411127
rp_3,-95.12609297586579
rp_4,40.4627280439675
rp_5,-56.19204765652596
rp_6,-76.81805201797948
rp_7,160.56708475044974
rp_8,-106.70117323782938
rp_9,-72.3058108196557
rp_10,-75.22523092439953
rp_11,55.00644625556665
rp_12,-31.061877509632623
rp_13,28.606362942089866
rp_14,38.734070642712865
rp_15,90.55240385742546
rp_16,-47.5639583022391
rp_17,-38.003901851722986
rp_18,-23.30617109650213
rp_19,20.779762042593234
rp_20,-10.068177538844143
rp_21,36.225536065366306
rp_22,-21.147704671352056
rp_23,34.16602405898105
rp_24,-54.63480755769473
rp_25,8.85734346203448
rp_26,-20.9281032025147
rp_27,32.00091998205565
rp_28,-24.168072158503467
rp_29,-2.158417769605021
rp_30,-20.211687288358224
rp_31,-10.933173647876984
rp_32,-20.425049273500075
rp_33,-9.252612277172185
rp_34,-17.957428526618635
rp_35,8.599524888782467
rp_36,7.105928439482631
rp_37,5.568360333220389
rp_38,6.710192167309063
rp_39,-16.343412565910675
rp_40,-7.121439575765998
rp_41,16.18976103074289
rp_42,-7.955159529968583
rp_43,-4.213873377360959
rp_44,-1.002841370942268
rp_45,-1.4472727715935751
rp_46,0.3409506629834436
rp_47,6.0394601978610325
rp_48,4.743094803680042
rp_49,-0.9727502908986388
rp_50,5.4576146129123835
rp_51,1.2057371027693897
rp_52,-5.4145041799393825
rp_53,-0.25898175568353415
rp_54,-1.8201322045651347
rp_55,0.9548857218983338
ebv,2.6330021643126913
