feature,importance
bp_1,0.004202642012387514
bp_2,0.06418561190366745
bp_3,0.047348324209451675
bp_4,0.01847871020436287
bp_5,0.08355360478162766
bp_6,0.03535321727395058
bp_7,0.012447153218090534
bp_8,0.003003158373758197
bp_9,0.009624579921364784
bp_10,0.18147338926792145
bp_11,0.0027863390278071165
bp_12,0.003186458721756935
bp_13,0.007161593995988369
bp_14,0.0
bp_15,0.0065826657228171825
bp_16,0.01545650139451027
bp_17,0.012688224203884602
bp_18,0.005119543056935072
bp_19,0.017351709306240082
bp_20,0.008308087475597858
bp_21,0.0033176117576658726
bp_22,0.01905928924679756
bp_23,0.00591443944722414
bp_24,0.004014596808701754
bp_25,0.003466679248958826
bp_26,0.002770748920738697
bp_27,0.00534368772059679
bp_28,0.06702236831188202
bp_29,0.003961724694818258
bp_30,0.0
bp_31,0.00299542467109859
bp_32,0.007183251902461052
bp_33,0.003505414817482233
bp_34,0.0028027126099914312
bp_35,0.004647282417863607
bp_36,0.004067825619131327
bp_37,0.003041519783437252
bp_38,0.010657260194420815
bp_39,0.0035775976721197367
bp_40,0.002219925634562969
bp_41,0.0033128990326076746
bp_42,0.004504924640059471
bp_43,0.0032628073822706938
bp_44,0.0005799034843221307
bp_45,0.002389192348346114
bp_46,0.0025439856108278036
bp_47,0.0024132488761097193
bp_48,0.00276083592325449
bp_49,0.0025240390095859766
bp_50,0.004212724976241589
bp_51,0.002754912944510579
bp_52,0.0030611439142376184
bp_53,0.002948656678199768
bp_54,0.002705288352444768
bp_55,0.0029014262836426497
rp_1,0.004431600216776133
rp_2,0.011149502359330654
rp_3,0.0065837097354233265
rp_4,0.002104904968291521
rp_5,0.0025825980119407177
rp_6,0.006943638902157545
rp_7,0.016734544187784195
rp_8,0.03171595558524132
rp_9,0.0030047951731830835
rp_10,0.0042262873612344265
rp_11,0.006760804448276758
rp_12,0.0034531813580542803
rp_13,0.012150658294558525
rp_14,0.0033851712942123413
rp_15,0.005458342842757702
rp_16,0.00447261705994606
rp_17,0.004359584767371416
rp_18,0.00294293905608356
rp_19,0.003153381170704961
rp_20,0.0034916249569505453
rp_21,0.0034082531929016113
rp_22,0.004512521903961897
rp_23,0.002791979117318988
rp_24,0.00366548472084105
rp_25,0.0027228568214923143
rp_26,0.003488415852189064
rp_27,0.0034391169901937246
rp_28,0.003378715366125107
rp_29,0.00366958137601614
rp_30,0.0041944170370697975
rp_31,0.0037814918905496597
rp_32,0.003049945691600442
rp_33,0.002791242441162467
rp_34,0.0036992940586060286
rp_35,0.00445749843493104
rp_36,0.002719977404922247
rp_37,0.0
rp_38,0.0025285957381129265
rp_39,0.0034918002784252167
rp_40,0.0023638440761715174
rp_41,0.0021730379667133093
rp_42,0.003543848404660821
rp_43,0.003558688098564744
rp_44,0.0035212247166782618
rp_45,0.0019486384699121118
rp_46,0.002534551778808236
rp_47,0.0028523504734039307
rp_48,0.0029249375220388174
rp_49,0.004121643491089344
rp_50,0.003642312716692686
rp_51,0.003482190426439047
rp_52,0.003352014347910881
rp_53,0.003562728175893426
rp_54,0.0020181257277727127
rp_55,0.0035072043538093567
ebv,0.009238838218152523
