feature,importance
bp_1,0.002692899201065302
bp_2,0.09110616147518158
bp_3,0.18476806581020355
bp_4,0.12366748601198196
bp_5,0.24616611003875732
bp_6,0.01700308546423912
bp_7,0.021424822509288788
bp_8,0.0015591762494295835
bp_9,0.004805311094969511
bp_10,0.00043597613694146276
bp_11,0.0
bp_12,0.0
bp_13,0.0023295446299016476
bp_14,0.00017903900879900903
bp_15,0.006508745718747377
bp_16,0.004226097371429205
bp_17,0.0033339152578264475
bp_18,0.004636370576918125
bp_19,0.003951520659029484
bp_20,0.0
bp_21,0.0
bp_22,0.008427705615758896
bp_23,0.0
bp_24,0.0012155843432992697
bp_25,0.0
bp_26,0.0016294135712087154
bp_27,0.0019470228580757976
bp_28,0.03424786776304245
bp_29,0.0004885265370830894
bp_30,0.0
bp_31,0.0
bp_32,0.007696443237364292
bp_33,0.0
bp_34,0.0
bp_35,0.0013439630856737494
bp_36,0.0
bp_37,0.0
bp_38,0.002364231739193201
bp_39,0.0022417446598410606
bp_40,0.0
bp_41,0.0
bp_42,0.004933582153171301
bp_43,0.0
bp_44,0.0
bp_45,0.0
bp_46,0.0
bp_47,0.0
bp_48,0.0
bp_49,0.0
bp_50,0.0
bp_51,0.0
bp_52,0.0
bp_53,0.0
bp_54,0.0
bp_55,0.0
rp_1,0.0014571958454325795
rp_2,0.005127954762428999
rp_3,0.010300562717020512
rp_4,0.015121632255613804
rp_5,0.0
rp_6,0.009946191683411598
rp_7,0.017347164452075958
rp_8,0.0
rp_9,0.0
rp_10,0.01093987561762333
rp_11,0.001635705353692174
rp_12,0.012698721140623093
rp_13,0.02153080329298973
rp_14,0.001319053117185831
rp_15,0.0726117268204689
rp_16,0.006085508037358522
rp_17,0.0032904045656323433
rp_18,0.0
rp_19,0.0
rp_20,0.0
rp_21,0.0025837658904492855
rp_22,0.0016101639484986663
rp_23,0.0
rp_24,0.005837719887495041
rp_25,0.000996352988295257
rp_26,0.0
rp_27,0.004050015937536955
rp_28,0.0
rp_29,0.0010594531195238233
rp_30,0.0
rp_31,0.0
rp_32,0.0
rp_33,0.0
rp_34,0.0016719801351428032
rp_35,0.001327338395640254
rp_36,0.001103170681744814
rp_37,0.0
rp_38,0.0
rp_39,0.0
rp_40,0.0
rp_41,0.0
rp_42,0.0
rp_43,0.0
rp_44,0.0
rp_45,0.0
rp_46,0.0
rp_47,0.0
rp_48,0.0011898151133209467
rp_49,0.0
rp_50,0.0
rp_51,0.0
rp_52,0.0013330646324902773
rp_53,0.0
rp_54,0.0
rp_55,0.0011504325084388256
ebv,0.001343755517154932
