feature,importance
bp_1,0.012260778807103634
bp_2,0.008484568446874619
bp_3,0.01534319669008255
bp_4,0.029462823644280434
bp_5,0.03082181327044964
bp_6,0.027085477486252785
bp_7,0.012473192997276783
bp_8,0.004777143243700266
bp_9,0.004230213817209005
bp_10,0.03202619031071663
bp_11,0.0034106899984180927
bp_12,0.0049695102497935295
bp_13,0.00847153551876545
bp_14,0.004235655069351196
bp_15,0.00867446605116129
bp_16,0.03507053852081299
bp_17,0.016732539981603622
bp_18,0.0035456866025924683
bp_19,0.016226056963205338
bp_20,0.017419960349798203
bp_21,0.005298051051795483
bp_22,0.024402257055044174
bp_23,0.011647144332528114
bp_24,0.0060728914104402065
bp_25,0.004727868363261223
bp_26,0.01831832341849804
bp_27,0.0064819552935659885
bp_28,0.09594631940126419
bp_29,0.005448179319500923
bp_30,0.003332127584144473
bp_31,0.007379308342933655
bp_32,0.00456389831379056
bp_33,0.005983683280646801
bp_34,0.003947306424379349
bp_35,0.006545929238200188
bp_36,0.003644524607807398
bp_37,0.00421650568023324
bp_38,0.017519036307930946
bp_39,0.005149857606738806
bp_40,0.004558950196951628
bp_41,0.005394024774432182
bp_42,0.009813235141336918
bp_43,0.004871279001235962
bp_44,0.004028073512017727
bp_45,0.0042922114953398705
bp_46,0.004985096864402294
bp_47,0.0037595494650304317
bp_48,0.004260811023414135
bp_49,0.004320928826928139
bp_50,0.009273025207221508
bp_51,0.004862328991293907
bp_52,0.004238222260028124
bp_53,0.005060054827481508
bp_54,0.003445505164563656
bp_55,0.006044824607670307
rp_1,0.005942037329077721
rp_2,0.016518255695700645
rp_3,0.024241505190730095
rp_4,0.0069377245381474495
rp_5,0.00518433004617691
rp_6,0.013718799687922001
rp_7,0.005060451105237007
rp_8,0.02264457754790783
rp_9,0.0029275640845298767
rp_10,0.007608281448483467
rp_11,0.012357117608189583
rp_12,0.005144088063389063
rp_13,0.007841809652745724
rp_14,0.005117426626384258
rp_15,0.012372731231153011
rp_16,0.007279790472239256
rp_17,0.0070779575034976006
rp_18,0.004397022072225809
rp_19,0.005280982702970505
rp_20,0.004390639252960682
rp_21,0.005137118510901928
rp_22,0.005089874844998121
rp_23,0.004705570638179779
rp_24,0.007440231274813414
rp_25,0.0053731114603579044
rp_26,0.0058540296740829945
rp_27,0.002924808533862233
rp_28,0.004825355019420385
rp_29,0.006686671171337366
rp_30,0.005079770926386118
rp_31,0.0049009318463504314
rp_32,0.0046048699878156185
rp_33,0.005026276223361492
rp_34,0.005144394934177399
rp_35,0.005754609126597643
rp_36,0.004601252730935812
rp_37,0.006891856901347637
rp_38,0.003735767677426338
rp_39,0.00656753359362483
rp_40,0.00399090675637126
rp_41,0.005928175523877144
rp_42,0.006310640834271908
rp_43,0.0052589550614356995
rp_44,0.005189370363950729
rp_45,0.004198703449219465
rp_46,0.004635943565517664
rp_47,0.005251526832580566
rp_48,0.004667440429329872
rp_49,0.00342215271666646
rp_50,0.004792393185198307
rp_51,0.004304027184844017
rp_52,0.00464656064286828
rp_53,0.005160193890333176
rp_54,0.004272766876965761
rp_55,0.005213052034378052
ebv,0.020814603194594383
