feature,weight
BIAS,1.5822688341140747
bp_1,-0.048073913902044296
bp_2,-1.8928248882293701
bp_3,-120.4368667602539
bp_4,-84.1981430053711
bp_5,183.47268676757812
bp_6,-188.67965698242188
bp_7,-49.247703552246094
bp_8,-72.13892364501953
bp_9,165.9435272216797
bp_10,-160.04310607910156
bp_11,133.1678466796875
bp_12,-91.52685546875
bp_13,182.44515991210938
bp_14,-104.57959747314453
bp_15,-76.59010314941406
bp_16,-192.12185668945312
bp_17,245.1690216064453
bp_18,-24.12803840637207
bp_19,-149.3716583251953
bp_20,-235.55575561523438
bp_21,-89.42381286621094
bp_22,261.2777404785156
bp_23,-61.740562438964844
bp_24,-93.88419342041016
bp_25,49.15324783325195
bp_26,-181.18319702148438
bp_27,-144.45960998535156
bp_28,-214.1455841064453
bp_29,186.1279754638672
bp_30,-89.61251068115234
bp_31,-3.8887453079223633
bp_32,211.71896362304688
bp_33,-94.2235336303711
bp_34,41.773582458496094
bp_35,145.0780792236328
bp_36,67.90834045410156
bp_37,59.245941162109375
bp_38,-190.8727569580078
bp_39,46.23783874511719
bp_40,-192.866943359375
bp_41,40.92796325683594
bp_42,169.41134643554688
bp_43,-55.342533111572266
bp_44,196.650146484375
bp_45,9.600044250488281
bp_46,134.5961456298828
bp_47,-146.97280883789062
bp_48,-107.52831268310547
bp_49,-161.10650634765625
bp_50,91.33048248291016
bp_51,-29.051916122436523
bp_52,37.452606201171875
bp_53,159.66050720214844
bp_54,-185.9735107421875
bp_55,80.70147705078125
rp_1,-0.0814761370420456
rp_2,-9.560510635375977
rp_3,-215.9149627685547
rp_4,49.37614059448242
rp_5,-21.920856475830078
rp_6,-176.06349182128906
rp_7,59.69545364379883
rp_8,-213.62115478515625
rp_9,-3.960035562515259
rp_10,-130.29962158203125
rp_11,143.7283477783203
rp_12,-64.43832397460938
rp_13,77.40186309814453
rp_14,45.54338455200195
rp_15,223.49623107910156
rp_16,-180.3699493408203
rp_17,-156.24505615234375
rp_18,-44.646636962890625
rp_19,82.57122039794922
rp_20,-22.598546981811523
rp_21,-27.850536346435547
rp_22,-97.42742919921875
rp_23,25.229610443115234
rp_24,-128.62001037597656
rp_25,-65.42891693115234
rp_26,-63.62517166137695
rp_27,144.14883422851562
rp_28,11.265097618103027
rp_29,34.42551040649414
rp_30,-70.64068603515625
rp_31,135.21121215820312
rp_32,-16.661895751953125
rp_33,-35.42550277709961
rp_34,34.244972229003906
rp_35,88.89115905761719
rp_36,-29.127315521240234
rp_37,62.38554763793945
rp_38,34.556732177734375
rp_39,-42.03015899658203
rp_40,-64.53926849365234
rp_41,-14.394272804260254
rp_42,4.5615234375
rp_43,-20.660676956176758
rp_44,-102.35054016113281
rp_45,35.426815032958984
rp_46,-98.21339416503906
rp_47,18.168415069580078
rp_48,82.14472961425781
rp_49,17.354503631591797
rp_50,-39.20783996582031
rp_51,47.60496520996094
rp_52,-25.90545654296875
rp_53,-278.12994384765625
rp_54,-45.63689041137695
rp_55,233.31466674804688
