rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2904,1453,0.5293381380791391,0.8589125946317963,0.8462005814606043,converged_objective,100,213,7.322605597437359e-06
1e-05,1,2905,1452,0.5420693283906524,0.8581267217630854,0.8433521317694721,converged_objective,98,209,1.36041389851016e-05
1e-05,2,2905,1452,0.5662059332069688,0.8450413223140496,0.8249520651719657,converged_objective,102,210,7.523126441810746e-06
0.0001,0,2904,1453,0.8655245824431056,0.8506538196834136,0.8276093753098007,converged_objective,55,116,2.9274175176396966e-05
0.0001,1,2905,1452,0.8692600913883931,0.8409090909090909,0.8196097363474013,converged_objective,56,122,2.5840192392934114e-05
0.0001,2,2905,1452,0.8943659890338577,0.8415977961432507,0.8159902556409095,converged_objective,53,113,4.203960270388052e-05
0.001,0,2904,1453,2.332689083689592,0.7570543702684102,0.7131889293055523,converged_objective,23,51,4.479124618228525e-05
0.001,1,2905,1452,2.3233662766986365,0.7479338842975206,0.7002069811517472,converged_objective,22,48,2.2592423192691058e-05
0.001,2,2905,1452,2.3421637214824282,0.7472451790633609,0.6976318386629515,converged_objective,21,47,5.473525379784405e-05
0.01,0,2904,1453,3.8734533390557684,0.38403303509979353,0.3137490605976075,converged_objective,8,30,2.1171988919377327e-05
0.01,1,2905,1452,3.872493102113996,0.3856749311294766,0.3160968300099888,converged_objective,7,18,1.368112862110138e-05
0.01,2,2905,1452,3.8748413294072352,0.3753443526170799,0.3067914933139563,converged_objective,7,18,1.3146433047950268e-05
0.1,0,2904,1453,4.136536044319183,0.11768754301445286,0.08347543612198785,converged_objective,5,24,1.1499971151351929e-05
0.1,1,2905,1452,4.136451070663464,0.1115702479338843,0.07813562586838449,converged_objective,5,24,1.3384036719799042e-05
0.1,2,2905,1452,4.136715056823249,0.12741046831955924,0.09168488695212831,converged_gradient,4,10,5.3551048040390015e-08
