rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,1618,809,1.0297749562312504,0.7317676143386898,0.6719836110072192,converged_objective,96,195,1.4316689885163214e-05
1e-05,1,1618,809,0.997139769172386,0.7391841779975278,0.6854753709905196,converged_objective,98,200,1.556507049826905e-05
1e-05,2,1618,809,0.9485282708751593,0.761433868974042,0.6953798754272884,converged_objective,97,198,1.7375285096932203e-05
0.0001,0,1618,809,1.3636569833598295,0.7280593325092707,0.650519037086812,converged_objective,58,123,1.1616630217758939e-05
0.0001,1,1618,809,1.333502746902853,0.7330037082818294,0.6615964109447288,converged_objective,57,118,1.7599541024537757e-05
0.0001,2,1618,809,1.2856622956645951,0.7466007416563659,0.6640553406452482,converged_objective,57,118,3.9849614950071555e-06
0.001,0,1618,809,2.691337846444838,0.519159456118665,0.3564405148811012,converged_objective,25,55,1.3500663044396788e-05
0.001,1,1618,809,2.6781114558905625,0.5525339925834364,0.38503087675653086,converged_objective,26,55,4.381145117804408e-06
0.001,2,1618,809,2.6625783178088933,0.5241038318912238,0.3604790514241626,converged_objective,26,55,4.4507760321721435e-06
0.01,0,1618,809,3.8400935253284483,0.21137206427688504,0.09777969299373981,converged_objective,9,22,3.225868567824364e-05
0.01,1,1618,809,3.839630743935701,0.22249690976514216,0.10392384368205733,converged_objective,10,22,2.0575709640979767e-05
0.01,2,1618,809,3.8368242956558625,0.207663782447466,0.09533798321089292,converged_objective,9,30,1.961318776011467e-05
0.1,0,1618,809,4.104357018691218,0.07292954264524104,0.028717948717948718,converged_objective,6,20,4.079192876815796e-06
0.1,1,1618,809,4.104405469534259,0.06551297898640297,0.02564102564102564,converged_gradient,5,12,2.1606683731079102e-07
0.1,2,1618,809,4.103984687482683,0.06674907292954264,0.026153846153846153,converged_gradient,5,12,2.1606683731079102e-07
