feature,weight
BIAS,92.29779480775429
bp_1,-66.92847979925018
bp_2,34.43126733151476
bp_3,-68.44647735097733
bp_4,78.20054050296335
bp_5,214.77960862715724
bp_6,-375.950500547628
bp_7,-82.71351320738015
bp_8,-64.83138264471566
bp_9,-94.69883893653068
bp_10,-18.337075796122164
bp_11,-40.906710058604084
bp_12,-20.474269432898705
bp_13,105.68668159545612
bp_14,-27.265780458522176
bp_15,31.087547659745834
bp_16,-135.025260020409
bp_17,78.14501983138247
bp_18,36.834710920112364
bp_19,-96.10289152923208
bp_20,-93.85724141240098
bp_21,-168.42076236261457
bp_22,203.14957491634812
bp_23,9.297574125428982
bp_24,-82.7190777230523
bp_25,41.399647420045596
bp_26,-7.8078755525130425
bp_27,-16.579925132139678
bp_28,-30.372274014100135
bp_29,-37.07329640212292
bp_30,-5.152863841202615
bp_31,4.470773997647611
bp_32,38.34811511988236
bp_33,-44.02032527467539
bp_34,-45.229931686456
bp_35,42.799971109148245
bp_36,5.425547453176484
bp_37,81.38949640569881
bp_38,-17.807154917862896
bp_39,86.98356490373737
bp_40,-61.65384238965749
bp_41,-38.93067215771809
bp_42,-9.206048499489157
bp_43,78.25493552991034
bp_44,18.497888585106452
bp_45,36.88091805596802
bp_46,-16.984567437919733
bp_47,-23.715866850417573
bp_48,-55.03145206091895
bp_49,9.76311266964952
bp_50,-33.24566092858768
bp_51,11.870172944208758
bp_52,20.040823100089455
bp_53,-6.772455721794917
bp_54,-1.209166885950838
bp_55,-5.725643505030292
rp_1,-66.92847979925018
rp_2,-83.98358795613214
rp_3,-215.79795407830534
rp_4,20.92516957578024
rp_5,174.5530699361604
rp_6,-150.37685834090772
rp_7,203.18196860242736
rp_8,-46.74205652009835
rp_9,-89.36367598937154
rp_10,22.59243461829989
rp_11,19.816759748067867
rp_12,-71.38170663129624
rp_13,-31.30000020027971
rp_14,81.1876907380401
rp_15,128.78410937471202
rp_16,-138.15983753173342
rp_17,-7.939024494717925
rp_18,-96.34519566523262
rp_19,-83.17890542261053
rp_20,-43.282764580327
rp_21,116.49939801262289
rp_22,-70.31982475005975
rp_23,92.78652763054629
rp_24,0.8343205208263745
rp_25,5.329506024442993
rp_26,81.61855280518301
rp_27,64.94349646032718
rp_28,-70.41568337612202
rp_29,-29.27005738566629
rp_30,-36.2434549934729
rp_31,102.05329278078871
rp_32,-32.05237224646935
rp_33,-59.63168388013076
rp_34,28.357811318203726
rp_35,-9.281346013403436
rp_36,71.11636912566297
rp_37,7.0686465126064775
rp_38,-38.48118408374148
rp_39,33.81615380843486
rp_40,-34.96434326930947
rp_41,-1.035364381075973
rp_42,0.5561021202979305
rp_43,-31.562216675843878
rp_44,-8.68100938961084
rp_45,47.296795970032306
rp_46,-41.03471840375073
rp_47,-3.158645958332594
rp_48,60.51878833944608
rp_49,25.375061244964286
rp_50,-7.7843794803933175
rp_51,-11.226587740400364
rp_52,-1.492573223006417
rp_53,3.1815590426976024
rp_54,-3.808975098471681
rp_55,0.8812567338016831
ebv,39.09237657980884
