feature,importance
bp_1,0.0
bp_2,0.09606201946735382
bp_3,0.09434066712856293
bp_4,0.11120735108852386
bp_5,0.08876830339431763
bp_6,0.07902427017688751
bp_7,0.0
bp_8,0.0
bp_9,0.005802137311547995
bp_10,0.0
bp_11,0.0
bp_12,0.0
bp_13,0.07614393532276154
bp_14,0.0007325385813601315
bp_15,0.011361142620444298
bp_16,0.006274241488426924
bp_17,0.007427510805428028
bp_18,0.0
bp_19,0.005491307936608791
bp_20,0.0
bp_21,0.0
bp_22,0.014618158340454102
bp_23,0.0009435175452381372
bp_24,0.0
bp_25,0.0
bp_26,0.0
bp_27,0.0
bp_28,0.03904692456126213
bp_29,0.001995877828449011
bp_30,6.188797124195844e-05
bp_31,5.152301673660986e-05
bp_32,0.02048911526799202
bp_33,0.0
bp_34,0.0
bp_35,0.0
bp_36,0.0
bp_37,0.0
bp_38,0.003299152944236994
bp_39,0.0
bp_40,0.0005348480772227049
bp_41,0.0
bp_42,0.01825842075049877
bp_43,0.0
bp_44,0.0
bp_45,1.3146590390533675e-05
bp_46,0.0
bp_47,6.622444925596938e-05
bp_48,0.0
bp_49,0.0
bp_50,0.0
bp_51,0.0
bp_52,0.00014972079952713102
bp_53,9.477811545366421e-05
bp_54,0.0007712462102063
bp_55,0.0001822678023017943
rp_1,0.0
rp_2,0.0
rp_3,0.0
rp_4,0.0
rp_5,0.0
rp_6,0.0
rp_7,0.11063820868730545
rp_8,0.0
rp_9,0.0
rp_10,0.017669932916760445
rp_11,0.0
rp_12,0.016072068363428116
rp_13,0.0595715194940567
rp_14,0.0
rp_15,0.07040717452764511
rp_16,0.012154162861406803
rp_17,0.006542110815644264
rp_18,0.0
rp_19,0.0017530459444969893
rp_20,0.0
rp_21,0.004823405761271715
rp_22,0.0
rp_23,0.0
rp_24,0.010485589504241943
rp_25,0.0
rp_26,0.0
rp_27,0.0
rp_28,0.0
rp_29,0.0007900797063484788
rp_30,0.0
rp_31,0.0
rp_32,0.0
rp_33,0.0007419689791277051
rp_34,0.0
rp_35,0.001293299486860633
rp_36,0.0014631213853135705
rp_37,0.0
rp_38,0.0
rp_39,0.0
rp_40,0.00017948521417565644
rp_41,0.0
rp_42,0.0
rp_43,0.0
rp_44,9.111883991863579e-05
rp_45,3.26201188727282e-05
rp_46,0.0
rp_47,0.00022938904294278473
rp_48,0.00044137099757790565
rp_49,0.0
rp_50,4.90496022393927e-05
rp_51,0.0
rp_52,0.0
rp_53,0.0013590051094070077
rp_54,0.0
rp_55,0.0
ebv,0.0
