rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2910,1455,1.2072457974788966,0.7024054982817869,0.6945403311438382,converged_objective,123,251,2.8214868507348e-05
1e-05,1,2910,1455,1.1679857044398467,0.6969072164948453,0.6844943461558629,converged_objective,125,258,3.122182533843443e-05
1e-05,2,2910,1455,1.1752689727118988,0.6982817869415807,0.688020198031278,converged_objective,121,249,2.904928260250017e-05
0.0001,0,2910,1455,1.6888342985449807,0.6350515463917525,0.6095519337410276,converged_objective,58,121,4.3291758629493415e-05
0.0001,1,2910,1455,1.6515146395048337,0.6563573883161512,0.637699470345761,converged_objective,56,116,1.818592136260122e-05
0.0001,2,2910,1455,1.6595516769366978,0.6584192439862543,0.6379418983411671,converged_objective,59,123,5.242869519861415e-05
0.001,0,2910,1455,3.0835915140119776,0.44192439862542954,0.35567661765253394,converged_objective,21,48,3.6494689993560314e-05
0.001,1,2910,1455,3.071682546537598,0.4329896907216495,0.3503381555622728,converged_objective,21,48,3.8775644497945905e-05
0.001,2,2910,1455,3.0787817719573938,0.4439862542955326,0.3606524466256331,converged_objective,21,48,2.9167415050324053e-05
0.01,0,2910,1455,3.973028379476144,0.28865979381443296,0.1969732831271293,converged_objective,9,20,4.9193622544407845e-06
0.01,1,2910,1455,3.971714745726418,0.2865979381443299,0.19603398707077635,converged_objective,9,26,2.2097956389188766e-06
0.01,2,2910,1455,3.972837546999275,0.27147766323024053,0.18545476958938498,converged_objective,9,20,4.514469765126705e-06
0.1,0,2910,1455,4.136727056423961,0.27147766323024053,0.1841958041958042,converged_gradient,4,10,2.2118911147117615e-08
0.1,1,2910,1455,4.136602286871606,0.26597938144329897,0.18041958041958042,converged_gradient,4,10,2.2817403078079224e-08
0.1,2,2910,1455,4.1367253619805044,0.252233676975945,0.1713432400932401,converged_gradient,4,10,2.0256265997886658e-08
