feature,importance
bp_1,0.0146380215883255
bp_2,0.005789062939584255
bp_3,0.016286296769976616
bp_4,0.02352816052734852
bp_5,0.0446314811706543
bp_6,0.02543414570391178
bp_7,0.01468129176646471
bp_8,0.005819815210998058
bp_9,0.004385671112686396
bp_10,0.0035458907950669527
bp_11,0.0036658686585724354
bp_12,0.004287496209144592
bp_13,0.007579163182526827
bp_14,0.0047942399978637695
bp_15,0.011476985178887844
bp_16,0.046276405453681946
bp_17,0.019191477447748184
bp_18,0.007031372282654047
bp_19,0.016809482127428055
bp_20,0.018733695149421692
bp_21,0.0045277392491698265
bp_22,0.0258108451962471
bp_23,0.006855757441371679
bp_24,0.004104836843907833
bp_25,0.006011044140905142
bp_26,0.00834731012582779
bp_27,0.007637914270162582
bp_28,0.10457172989845276
bp_29,0.0050958250649273396
bp_30,0.003990300465375185
bp_31,0.004979205783456564
bp_32,0.0056717717088758945
bp_33,0.006079907529056072
bp_34,0.005038591101765633
bp_35,0.006843659561127424
bp_36,0.0043416148982942104
bp_37,0.01409390289336443
bp_38,0.013090887106955051
bp_39,0.005643872544169426
bp_40,0.004123988561332226
bp_41,0.00504950899630785
bp_42,0.010529113002121449
bp_43,0.005627034232020378
bp_44,0.004040525294840336
bp_45,0.004844671580940485
bp_46,0.004381705075502396
bp_47,0.009402550756931305
bp_48,0.0035999270621687174
bp_49,0.0038837622851133347
bp_50,0.008638530969619751
bp_51,0.003866340732201934
bp_52,0.0045113940723240376
bp_53,0.004848767071962357
bp_54,0.005200592335313559
bp_55,0.005997976288199425
rp_1,0.008229142986238003
rp_2,0.011323071084916592
rp_3,0.027096007019281387
rp_4,0.010507400147616863
rp_5,0.003703145310282707
rp_6,0.012209412641823292
rp_7,0.013366075232625008
rp_8,0.006380758248269558
rp_9,0.011270403861999512
rp_10,0.005807545501738787
rp_11,0.011612609960138798
rp_12,0.0064714569598436356
rp_13,0.007649372797459364
rp_14,0.0036003312561661005
rp_15,0.009133302606642246
rp_16,0.006142482627183199
rp_17,0.006240969989448786
rp_18,0.004372586030513048
rp_19,0.0032899193465709686
rp_20,0.005977918393909931
rp_21,0.0031094530131667852
rp_22,0.007052943110466003
rp_23,0.0048583936877548695
rp_24,0.00862121768295765
rp_25,0.005231384187936783
rp_26,0.005109588615596294
rp_27,0.00411248067393899
rp_28,0.0055704861879348755
rp_29,0.006114232819527388
rp_30,0.00386604480445385
rp_31,0.006423403974622488
rp_32,0.0050813606940209866
rp_33,0.005126262549310923
rp_34,0.0054252175614237785
rp_35,0.0036776436027139425
rp_36,0.005093635059893131
rp_37,0.004501852206885815
rp_38,0.003586609847843647
rp_39,0.005564230959862471
rp_40,0.0032263249158859253
rp_41,0.004147632513195276
rp_42,0.006409755442291498
rp_43,0.005410567857325077
rp_44,0.005562629085034132
rp_45,0.006793153006583452
rp_46,0.0032486233394593
rp_47,0.0048766289837658405
rp_48,0.004805414937436581
rp_49,0.002555424114689231
rp_50,0.0054984502494335175
rp_51,0.0038369805552065372
rp_52,0.004379248712211847
rp_53,0.005485342349857092
rp_54,0.004407732747495174
rp_55,0.004863990470767021
ebv,0.022112537175416946
