strategy,reweight_lambda,n_queries,termination_class,stop_reason,accepted_updates,function_evaluations,final_dual_objective,final_primal_dual_gap,final_relative_primal_dual_gap,final_grad_inf,final_dual_relative_improvement_window,final_normalized_weight_l1_change_window,runtime_seconds,historical_stop_reason,historical_gap,historical_relative_gap,historical_grad_inf
wasserstein_l2,10.0,0,stable_not_certified,stable_not_certified,85,176,-0.04470645636320114,0.0007569342851638794,0.016649315133690834,0.003262799931690097,1.8165458663665533e-05,0.004992091277614463,98.9334693197161,objective_tolerance,0.014187667518854141,0.2445219252682794,0.021168041974306107
wasserstein_l2,10.0,150,stable_not_certified,stable_not_certified,90,198,-0.024979066103696823,0.008305072784423828,0.2495204359292984,0.01961979828774929,8.142852477015457e-05,0.0008359833367395098,108.93290872126818,objective_tolerance,0.007578408345580101,0.2347361096927958,0.012452766299247742
wasserstein_l2,100.0,0,stable_not_certified,stable_not_certified,370,761,-0.09185394644737244,0.0014654472470283508,0.015703566372394562,0.0008766078390181065,2.8876349847685367e-05,0.004713030001198604,426.6941107697785,objective_tolerance,0.23074990510940552,0.7284995145019034,0.027142386883497238
wasserstein_l2,100.0,150,stable_not_certified,stable_not_certified,173,354,-0.08175824582576752,0.006155773997306824,0.070020392537117,0.0026884733233600855,8.165195017845872e-05,0.0010988527891129252,197.06885758042336,objective_tolerance,0.08583635836839676,0.5171258803239688,0.01175189483910799
wasserstein_l2,1000.0,0,max_iter_not_converged,max_iter,512,1024,-0.13020367920398712,0.35715341567993164,0.7328372001647949,0.008390571922063828,0.0017324685410699074,0.011396327816783014,573.9204695988446,objective_tolerance,3.8829450607299805,0.9726652140618721,0.03146526589989662
wasserstein_l2,1000.0,150,max_iter_not_converged,max_iter,512,1049,-0.13221660256385803,0.3423222601413727,0.721378743648529,0.017429031431674957,0.0001378353382758704,0.003928884201968685,583.9996835235506,objective_tolerance,2.06404972076416,0.9490587009499629,0.023377062752842903
wasserstein_l2,10000.0,0,max_iter_not_converged,max_iter,512,1024,-0.240291565656662,17.32771873474121,0.9863222241401672,0.03204907849431038,0.0018706791782108726,0.002279837526657502,573.8098174799234,objective_tolerance,73.0025863647461,0.9970985394214328,0.05567844957113266
wasserstein_l2,10000.0,150,max_iter_not_converged,max_iter,512,1025,-0.2528837323188782,2.8275444507598877,0.9179063439369202,0.004330121912062168,0.0006828223165283305,0.0013145524217179627,570.6308122184128,objective_tolerance,199.31158447265625,0.9989001446795239,0.13818855583667755
kmedianpp,100.0,150,stable_not_certified,stable_not_certified,176,365,-0.08504032343626022,0.003167182207107544,0.03590603917837143,0.002371973590925336,9.646117166242375e-05,0.0017346604972274804,203.24870815128088,objective_tolerance,0.049474574625492096,0.37476545994682914,0.006331831216812134
