model,validation_pr_auc,eval_pr_auc,eval_roc_auc,eval_precision_at_0_5,eval_recall_at_0_5,eval_f1_at_0_5,eval_predicted_mp_at_0_5,train_seconds
xgb_deeper,0.6467656398487145,0.6467052397017596,0.9912626145993312,0.17142336099206712,0.9215686274509803,0.28907511340047665,10967,75.67010990530252
xgb_medium,0.5950903510039913,0.5925482071048428,0.9912538694308677,0.10822129160238043,0.9627450980392157,0.1945710322964137,18148,42.16327872313559
xgb_shallow,0.5418106476129074,0.5398322077569102,0.9910104522878146,0.07294743059657413,0.9686274509803922,0.13567701180994235,27088,24.19976075552404
logistic,0.06217253798415974,0.059404497022731866,0.9661658546587998,0.014501001470794746,0.961764705882353,0.02857122053865925,135301,110.73163083009422
