rho,mean_validation_cross_entropy,std_validation_cross_entropy,mean_validation_top1_accuracy,mean_validation_macro_accuracy
1e-05,0.9850342219109343,0.007845966115889147,0.7453646477132262,0.6820204476789499
0.0001,1.3274958920734299,0.011099440136828778,0.7379480840543882,0.658415841458959
0.001,2.676837399842545,0.015461963723611201,0.5278121137206427,0.36390811308078014
0.01,3.8386074199708187,0.002295564837577997,0.21466831479192416,0.09952012863764453
0.1,4.10422231274045,0.0002625388999382618,0.06880922950144212,0.027008547008547008
