feature,importance
bp_1,0.0023507012519985437
bp_2,0.08159802109003067
bp_3,0.1676279902458191
bp_4,0.12871421873569489
bp_5,0.24737496674060822
bp_6,0.015129504725337029
bp_7,0.019462138414382935
bp_8,0.0016751113580539823
bp_9,0.004417601972818375
bp_10,0.0
bp_11,0.0012546121142804623
bp_12,0.0
bp_13,0.0023432625457644463
bp_14,0.0
bp_15,0.007557773496955633
bp_16,0.003884747391566634
bp_17,0.0031489969696849585
bp_18,0.0
bp_19,0.004330722615122795
bp_20,0.0
bp_21,0.0
bp_22,0.008247372694313526
bp_23,0.0
bp_24,0.0011614594841375947
bp_25,0.0
bp_26,0.001386522431857884
bp_27,0.0020638364367187023
bp_28,0.031227022409439087
bp_29,0.0
bp_30,0.0
bp_31,0.0
bp_32,0.006446915213018656
bp_33,0.0
bp_34,0.0
bp_35,0.002181674586609006
bp_36,0.0
bp_37,0.0
bp_38,0.0022688708268105984
bp_39,0.002024157904088497
bp_40,0.0
bp_41,0.0
bp_42,0.004581389017403126
bp_43,0.0
bp_44,0.0
bp_45,0.0
bp_46,0.0
bp_47,0.0
bp_48,0.0
bp_49,0.0
bp_50,0.0
bp_51,0.0
bp_52,0.0
bp_53,0.0
bp_54,0.0
bp_55,0.0
rp_1,0.0016404674388468266
rp_2,0.004393123090267181
rp_3,0.009432663209736347
rp_4,0.013914989307522774
rp_5,0.0
rp_6,0.017065787687897682
rp_7,0.03180409222841263
rp_8,0.0
rp_9,0.0005690514808520675
rp_10,0.012357494793832302
rp_11,0.002322574844583869
rp_12,0.013180341571569443
rp_13,0.01962815783917904
rp_14,0.001310274819843471
rp_15,0.08711566776037216
rp_16,0.006144045386463404
rp_17,0.003289344720542431
rp_18,0.0
rp_19,0.0
rp_20,0.0
rp_21,0.002398879500105977
rp_22,0.0014336325693875551
rp_23,0.0
rp_24,0.006113624200224876
rp_25,0.0
rp_26,0.0
rp_27,0.004104010295122862
rp_28,0.0
rp_29,0.0
rp_30,0.0
rp_31,0.0
rp_32,0.0
rp_33,0.0
rp_34,0.0016665055882185698
rp_35,0.0012903945753350854
rp_36,0.0009708373108878732
rp_37,0.0
rp_38,0.0
rp_39,0.0
rp_40,0.0
rp_41,0.0
rp_42,0.0
rp_43,0.0
rp_44,0.0
rp_45,0.0
rp_46,0.0
rp_47,0.0
rp_48,0.0011532888747751713
rp_49,0.0
rp_50,0.0
rp_51,0.0
rp_52,0.0012478228891268373
rp_53,0.00035423951339907944
rp_54,0.0
rp_55,0.00119018426630646
ebv,0.001448965398594737
