feature,importance
bp_1,0.007199594285339117
bp_2,0.10216909646987915
bp_3,0.05384170264005661
bp_4,0.034656818956136703
bp_5,0.5021995902061462
bp_6,0.008343159221112728
bp_7,0.0029979648534208536
bp_8,0.0012932573445141315
bp_9,0.0028415860142558813
bp_10,0.005385960917919874
bp_11,0.0010136556811630726
bp_12,0.0007823329069651663
bp_13,0.002056865021586418
bp_14,0.002265210496261716
bp_15,0.002103556878864765
bp_16,0.0009932307293638587
bp_17,0.001111809047870338
bp_18,0.001914121792651713
bp_19,0.0028730498161166906
bp_20,0.002295884070917964
bp_21,0.0019217056687921286
bp_22,0.0018842242425307631
bp_23,0.00215323967859149
bp_24,0.0029258078429847956
bp_25,0.0010850904509425163
bp_26,0.0037753512151539326
bp_27,0.003213058225810528
bp_28,0.008387741632759571
bp_29,0.0014875615015625954
bp_30,0.0032437187619507313
bp_31,0.0017670918023213744
bp_32,0.002858296735212207
bp_33,0.0031506374944001436
bp_34,0.0006041570450179279
bp_35,0.0010383565677329898
bp_36,0.0013795141130685806
bp_37,0.0026414107996970415
bp_38,0.001183761633001268
bp_39,0.002150078769773245
bp_40,0.0009100529714487493
bp_41,0.0010958421044051647
bp_42,0.0013156121131032705
bp_43,0.0012326216092333198
bp_44,0.0009376031230203807
bp_45,0.0009347012382932007
bp_46,0.0018078899011015892
bp_47,0.0015724460827186704
bp_48,0.0009013984818011522
bp_49,0.0026213128585368395
bp_50,0.0019019480096176267
bp_51,0.0017658405704423785
bp_52,0.0012159902835264802
bp_53,0.0009792157215997577
bp_54,0.0007983074174262583
bp_55,0.0021901156287640333
rp_1,0.004123677499592304
rp_2,0.019489994272589684
rp_3,0.011325192637741566
rp_4,0.01878170855343342
rp_5,0.0089944489300251
rp_6,0.005753004923462868
rp_7,0.006831484381109476
rp_8,0.001688765361905098
rp_9,0.002740679308772087
rp_10,0.009816902689635754
rp_11,0.002544434741139412
rp_12,0.009647425264120102
rp_13,0.006505665369331837
rp_14,0.00295626581646502
rp_15,0.010586732998490334
rp_16,0.0016459025209769607
rp_17,0.002406580140814185
rp_18,0.0024695666506886482
rp_19,0.002167291007936001
rp_20,0.0033476902171969414
rp_21,0.007186403032392263
rp_22,0.002266374183818698
rp_23,0.0008390460861846805
rp_24,0.0040373713709414005
rp_25,0.0011698313755914569
rp_26,0.0008538332767784595
rp_27,0.0015491024823859334
rp_28,0.000951814407017082
rp_29,0.0016609024023637176
rp_30,0.0012282857205718756
rp_31,0.002565247705206275
rp_32,0.0007964015821926296
rp_33,0.0007707185577601194
rp_34,0.000768329540733248
rp_35,0.0007825133507139981
rp_36,0.0011221661698073149
rp_37,0.0009961043251678348
rp_38,0.0013750538928434253
rp_39,0.0026748664677143097
rp_40,0.0010147170396521688
rp_41,0.0010148892179131508
rp_42,0.0011109684128314257
rp_43,0.002493876265361905
rp_44,0.0021345901768654585
rp_45,0.0012851885985583067
rp_46,0.0014047840377315879
rp_47,0.0017397264018654823
rp_48,0.000864234403707087
rp_49,0.0013696210226044059
rp_50,0.0011594651732593775
rp_51,0.0015606782399117947
rp_52,0.0010292925871908665
rp_53,0.0006838002009317279
rp_54,0.0015408614417538047
rp_55,0.002342302119359374
ebv,0.002462951000779867
