rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2959,1480,0.39431494931441347,0.9060810810810811,0.8980790408224154,converged_objective,87,178,2.4573893824708648e-05
1e-05,1,2959,1480,0.3894300050750719,0.9006756756756756,0.8932604047030284,converged_objective,92,191,1.9944644009228796e-05
1e-05,2,2960,1479,0.39543671955058995,0.8979039891818796,0.8891454605135065,converged_objective,87,181,2.2557927877642214e-05
0.0001,0,2959,1480,0.7691910340392472,0.8817567567567568,0.868830098433524,converged_objective,53,112,1.599419192643836e-05
0.0001,1,2959,1480,0.7564090822019645,0.8918918918918919,0.8793452428365077,converged_objective,54,114,1.5852587239351124e-05
0.0001,2,2960,1479,0.755972275853154,0.8803245436105477,0.8626237450771974,converged_objective,52,110,3.1829429644858465e-05
0.001,0,2959,1480,2.225500130545532,0.7283783783783784,0.6559591752416858,converged_objective,21,47,7.62704003136605e-05
0.001,1,2959,1480,2.222622935289468,0.7378378378378379,0.6647387981945387,converged_objective,20,46,3.955028660129756e-05
0.001,2,2960,1479,2.214937660048259,0.7396889790398918,0.664875976969647,converged_objective,21,45,6.027298513799906e-05
0.01,0,2959,1480,3.835051640403504,0.4189189189189189,0.31252910238026554,converged_objective,8,19,2.9725488275289536e-06
0.01,1,2959,1480,3.8353800774407962,0.43513513513513513,0.32818896773737427,converged_objective,8,22,2.7602072805166245e-06
0.01,2,2960,1479,3.83421664048063,0.4381338742393509,0.32759359231710616,converged_objective,8,19,6.90738670527935e-06
0.1,0,2959,1480,4.126857443263489,0.29864864864864865,0.20984176747942043,converged_gradient,3,8,7.408671081066132e-07
0.1,1,2959,1480,4.12692130873658,0.3162162162162162,0.22312695326407145,converged_gradient,3,8,6.980262696743011e-07
0.1,2,2960,1479,4.126803957017475,0.3002028397565923,0.21079752237010305,converged_gradient,3,8,6.346963346004486e-07
