rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2904,1453,0.5557873261688165,0.8458362009635237,0.8308513839373821,converged_objective,100,210,6.025386028341018e-06
1e-05,1,2905,1452,0.5775545569415763,0.8326446280991735,0.807616950130655,converged_objective,98,207,1.0062745786854066e-05
1e-05,2,2905,1452,0.5352980366760686,0.8533057851239669,0.8383240339295795,converged_objective,99,206,1.6395853890571743e-05
0.0001,0,2904,1453,0.8820039395824132,0.8396421197522368,0.817577519340792,converged_objective,52,113,2.9269582228153013e-05
0.0001,1,2905,1452,0.8964161576681182,0.8292011019283747,0.8024901937843227,converged_objective,53,116,8.731123671168461e-06
0.0001,2,2905,1452,0.8683648553263305,0.8533057851239669,0.8328053892341615,converged_objective,52,111,5.5024083849275485e-05
0.001,0,2904,1453,2.3363849130401864,0.7487955953200275,0.7027255578987727,converged_objective,22,50,3.281404497101903e-05
0.001,1,2905,1452,2.332802345503296,0.7369146005509641,0.6915531494999789,converged_objective,22,50,2.7032496291212738e-05
0.001,2,2905,1452,2.3358195491258664,0.7658402203856749,0.7175447575960034,converged_objective,21,47,4.072501906193793e-05
0.01,0,2904,1453,3.874030577459214,0.37921541637990364,0.3098626160463319,converged_objective,8,28,1.1883093975484371e-05
0.01,1,2905,1452,3.8734167118071836,0.3856749311294766,0.3163342531529303,converged_objective,8,42,1.8197461031377316e-05
0.01,2,2905,1452,3.874355366662379,0.378099173553719,0.30923339928106114,converged_objective,7,18,1.202290877699852e-05
0.1,0,2904,1453,4.136596683743658,0.1169993117687543,0.08272543612198785,converged_gradient,4,10,9.313225746154785e-08
0.1,1,2905,1452,4.1365306321854565,0.11639118457300275,0.08223910572186435,converged_gradient,4,10,1.7881393432617188e-07
0.1,2,2905,1452,4.1366786682161125,0.1246556473829201,0.08938755561169354,converged_gradient,4,10,1.695007085800171e-07
