feature,importance
bp_1,0.0034133780281990767
bp_2,0.21138712763786316
bp_3,0.06801652163267136
bp_4,0.026798967272043228
bp_5,0.08866341412067413
bp_6,0.031114747747778893
bp_7,0.013568457216024399
bp_8,0.0026367916725575924
bp_9,0.0032699371222406626
bp_10,0.0033745411783456802
bp_11,0.0
bp_12,0.0035158360842615366
bp_13,0.008831892162561417
bp_14,0.002462215255945921
bp_15,0.006355361081659794
bp_16,0.01682283729314804
bp_17,0.013995392248034477
bp_18,0.0
bp_19,0.028333239257335663
bp_20,0.0
bp_21,0.0033320768270641565
bp_22,0.01740259677171707
bp_23,0.007047160528600216
bp_24,0.00283062388189137
bp_25,0.0033913624938577414
bp_26,0.0024842512793838978
bp_27,0.005369908642023802
bp_28,0.06519988179206848
bp_29,0.003481161780655384
bp_30,0.0020101682748645544
bp_31,0.0014334903098642826
bp_32,0.003995982464402914
bp_33,0.003500796854496002
bp_34,0.0028835327830165625
bp_35,0.0038188849575817585
bp_36,0.002225277479737997
bp_37,0.003109850687906146
bp_38,0.00879007950425148
bp_39,0.004223741590976715
bp_40,0.0
bp_41,0.0029933969490230083
bp_42,0.006147101521492004
bp_43,0.0026351059786975384
bp_44,0.0027784148696810007
bp_45,0.0
bp_46,0.0
bp_47,0.0024440260604023933
bp_48,0.004345794208347797
bp_49,0.003268839791417122
bp_50,0.002890594769269228
bp_51,0.0
bp_52,0.0031351475045084953
bp_53,0.0033694994635879993
bp_54,0.0031227641738951206
bp_55,0.003226757515221834
rp_1,0.0036466617602854967
rp_2,0.011007506400346756
rp_3,0.03837266191840172
rp_4,0.0
rp_5,0.0027527331840246916
rp_6,0.0028853423427790403
rp_7,0.009218618273735046
rp_8,0.023025982081890106
rp_9,0.00453835679218173
rp_10,0.004765613004565239
rp_11,0.01049413625150919
rp_12,0.005209594499319792
rp_13,0.015843046829104424
rp_14,0.0032444321550428867
rp_15,0.006464410573244095
rp_16,0.004680263809859753
rp_17,0.0046973805874586105
rp_18,0.0031356208492070436
rp_19,0.00467393035069108
rp_20,0.0022904828656464815
rp_21,0.0024653044529259205
rp_22,0.003125956980511546
rp_23,0.0038172344211488962
rp_24,0.006208736915141344
rp_25,0.002819774905219674
rp_26,0.0022189454175531864
rp_27,0.004701064899563789
rp_28,0.003599655581638217
rp_29,0.0036778398789465427
rp_30,0.0034181810915470123
rp_31,0.003715509083122015
rp_32,0.0036377450451254845
rp_33,0.003224489511922002
rp_34,0.0038665826432406902
rp_35,0.0030128490179777145
rp_36,0.002982170321047306
rp_37,0.002591244410723448
rp_38,0.0026085719000548124
rp_39,0.002946146996691823
rp_40,0.002289971336722374
rp_41,0.002611759817227721
rp_42,0.004068686626851559
rp_43,0.0032411220017820597
rp_44,0.003628118196502328
rp_45,0.003262060461565852
rp_46,0.001649436424486339
rp_47,0.0032461252994835377
rp_48,0.0037290221080183983
rp_49,0.0026266828645020723
rp_50,0.003585841739550233
rp_51,0.0
rp_52,0.003373464336618781
rp_53,0.00262036407366395
rp_54,0.0028199837543070316
rp_55,0.0034377709962427616
ebv,0.008775844238698483
