feature,importance
bp_1,0.004378720186650753
bp_2,0.21164284646511078
bp_3,0.06842005997896194
bp_4,0.028828665614128113
bp_5,0.0976567417383194
bp_6,0.030318766832351685
bp_7,0.012786711566150188
bp_8,0.0021313675679266453
bp_9,0.0027008531615138054
bp_10,0.0
bp_11,0.0021217225585132837
bp_12,0.0028053242713212967
bp_13,0.008004494942724705
bp_14,0.0017408551648259163
bp_15,0.0051112063229084015
bp_16,0.019033269956707954
bp_17,0.015325600281357765
bp_18,0.0031001586467027664
bp_19,0.029161542654037476
bp_20,0.002147640800103545
bp_21,0.0038005856331437826
bp_22,0.016875432804226875
bp_23,0.007577396929264069
bp_24,0.0029788855463266373
bp_25,0.0035455110482871532
bp_26,0.00375678320415318
bp_27,0.005216920282691717
bp_28,0.06024764105677605
bp_29,0.0028414675034582615
bp_30,0.002143781865015626
bp_31,0.0018709722207859159
bp_32,0.007435037288814783
bp_33,0.002807157812640071
bp_34,0.003143457928672433
bp_35,0.004503992386162281
bp_36,0.004054688382893801
bp_37,0.002679978497326374
bp_38,0.01011104229837656
bp_39,0.003318354021757841
bp_40,0.0027922997251152992
bp_41,0.0029591768980026245
bp_42,0.006226865109056234
bp_43,0.0033631129190325737
bp_44,0.0016036395682021976
bp_45,0.0020576692186295986
bp_46,0.004242544062435627
bp_47,0.0025700468104332685
bp_48,0.003801022656261921
bp_49,0.0027968287467956543
bp_50,0.002835662569850683
bp_51,0.002474861918017268
bp_52,0.0029087706934660673
bp_53,0.0033703865483403206
bp_54,0.0
bp_55,0.0029723336920142174
rp_1,0.0038932436145842075
rp_2,0.01214078813791275
rp_3,0.010640958324074745
rp_4,0.003506732638925314
rp_5,0.002525284420698881
rp_6,0.008142244070768356
rp_7,0.011456932872533798
rp_8,0.01971733197569847
rp_9,0.003071607556194067
rp_10,0.0056559378281235695
rp_11,0.01271228026598692
rp_12,0.004239936824887991
rp_13,0.015534928999841213
rp_14,0.0032325778156518936
rp_15,0.005248656030744314
rp_16,0.004367946181446314
rp_17,0.004735132213681936
rp_18,0.0036756484769284725
rp_19,0.003492554649710655
rp_20,0.0027020485140383244
rp_21,0.0023752867709845304
rp_22,0.0035063785035163164
rp_23,0.0029608530458062887
rp_24,0.004524673335254192
rp_25,0.0022890898399055004
rp_26,0.004271643701940775
rp_27,0.004154309630393982
rp_28,0.003474130528047681
rp_29,0.004568072035908699
rp_30,0.003962317947298288
rp_31,0.0033913988154381514
rp_32,0.003078016685321927
rp_33,0.0027864316944032907
rp_34,0.0032458784990012646
rp_35,0.0029803707730025053
rp_36,0.002231283113360405
rp_37,0.0024235660675913095
rp_38,0.002933104755356908
rp_39,0.00417269067838788
rp_40,0.002438026713207364
rp_41,0.003015594556927681
rp_42,0.0035246051847934723
rp_43,0.0031938895117491484
rp_44,0.0036318523343652487
rp_45,0.00242346478626132
rp_46,0.002364958403632045
rp_47,0.0037981995847076178
rp_48,0.002998928539454937
rp_49,0.002302474109455943
rp_50,0.0035651405341923237
rp_51,0.0
rp_52,0.0036751767620444298
rp_53,0.002693508518859744
rp_54,0.002684574341401458
rp_55,0.002772190608084202
ebv,0.007594127673655748
