feature,importance
bp_1,0.003036229172721505
bp_2,0.09371098130941391
bp_3,0.1721174418926239
bp_4,0.12119457870721817
bp_5,0.2486426681280136
bp_6,0.01743447221815586
bp_7,0.021849889308214188
bp_8,0.0015233581652864814
bp_9,0.005465196445584297
bp_10,0.0
bp_11,0.0
bp_12,0.0
bp_13,0.0024587397929280996
bp_14,0.0
bp_15,0.006721805315464735
bp_16,0.004151363857090473
bp_17,0.003206081222742796
bp_18,0.0048453956842422485
bp_19,0.004130380228161812
bp_20,0.0017957030795514584
bp_21,0.0
bp_22,0.007747333962470293
bp_23,0.0
bp_24,0.0012233408633619547
bp_25,0.0
bp_26,0.002467160811647773
bp_27,0.0019219017121940851
bp_28,0.03402450680732727
bp_29,0.0
bp_30,0.0
bp_31,0.0
bp_32,0.007398440968245268
bp_33,0.0
bp_34,0.0
bp_35,0.0019969185814261436
bp_36,0.0
bp_37,0.0
bp_38,0.002527487464249134
bp_39,0.0022325380705296993
bp_40,0.0
bp_41,0.0
bp_42,0.005734948441386223
bp_43,0.0
bp_44,0.0
bp_45,0.0
bp_46,0.0
bp_47,0.0
bp_48,0.0
bp_49,0.0008592779049649835
bp_50,0.0
bp_51,0.0
bp_52,0.0
bp_53,0.0
bp_54,0.0
bp_55,0.0
rp_1,0.0014814888127148151
rp_2,0.004826799966394901
rp_3,0.009800508618354797
rp_4,0.01963658817112446
rp_5,0.0
rp_6,0.013370155356824398
rp_7,0.017307626083493233
rp_8,0.0
rp_9,0.0
rp_10,0.01025721151381731
rp_11,0.0019091663416475058
rp_12,0.013964015059173107
rp_13,0.021998953074216843
rp_14,0.0011694681597873569
rp_15,0.06744008511304855
rp_16,0.00571248447522521
rp_17,0.0033895429223775864
rp_18,0.0
rp_19,0.0
rp_20,0.0
rp_21,0.0026669735088944435
rp_22,0.0015037949196994305
rp_23,0.0
rp_24,0.006058848462998867
rp_25,0.0009336251532658935
rp_26,0.0
rp_27,0.004622663836926222
rp_28,0.0
rp_29,0.0010169591987505555
rp_30,0.0
rp_31,0.0
rp_32,0.0
rp_33,0.0
rp_34,0.001691254903562367
rp_35,0.0012265753466635942
rp_36,0.0011587125482037663
rp_37,0.0
rp_38,0.0010042190551757812
rp_39,0.0
rp_40,0.0
rp_41,0.0
rp_42,0.0
rp_43,0.0
rp_44,0.0
rp_45,0.0
rp_46,0.0
rp_47,0.0
rp_48,0.0011954925721511245
rp_49,0.0
rp_50,0.0
rp_51,0.0
rp_52,0.001367448945529759
rp_53,0.00040008799987845123
rp_54,0.0
rp_55,0.0007807600777596235
ebv,0.0016902610659599304
