feature,importance
bp_1,0.013671946711838245
bp_2,0.010026534087955952
bp_3,0.016443325206637383
bp_4,0.028619805350899696
bp_5,0.04248475655913353
bp_6,0.029424844309687614
bp_7,0.018983209505677223
bp_8,0.004979180637747049
bp_9,0.003139740088954568
bp_10,0.007927616126835346
bp_11,0.0046097817830741405
bp_12,0.004544926807284355
bp_13,0.007250125519931316
bp_14,0.004646037705242634
bp_15,0.006497494410723448
bp_16,0.028743518516421318
bp_17,0.016528530046343803
bp_18,0.0031869264785200357
bp_19,0.014407632872462273
bp_20,0.012349148280918598
bp_21,0.006801915820688009
bp_22,0.03494507446885109
bp_23,0.00730748288333416
bp_24,0.006614787969738245
bp_25,0.005307124927639961
bp_26,0.013592390343546867
bp_27,0.006672224495559931
bp_28,0.1041671484708786
bp_29,0.004661236423999071
bp_30,0.005884562153369188
bp_31,0.006296768318861723
bp_32,0.010209513828158379
bp_33,0.006195357535034418
bp_34,0.004832716658711433
bp_35,0.007018113508820534
bp_36,0.004783352371305227
bp_37,0.007408945355564356
bp_38,0.015412559732794762
bp_39,0.005772138945758343
bp_40,0.0036801279056817293
bp_41,0.005219243932515383
bp_42,0.011581205762922764
bp_43,0.005578890908509493
bp_44,0.004461577627807856
bp_45,0.0039005258586257696
bp_46,0.004295585677027702
bp_47,0.004136398900300264
bp_48,0.004108704160898924
bp_49,0.004502188414335251
bp_50,0.006724403239786625
bp_51,0.004208960570394993
bp_52,0.004349178168922663
bp_53,0.0049179792404174805
bp_54,0.0045722550712525845
bp_55,0.006524678785353899
rp_1,0.006801948882639408
rp_2,0.011427520774304867
rp_3,0.016725141555070877
rp_4,0.028819618746638298
rp_5,0.0035031652078032494
rp_6,0.015010782517492771
rp_7,0.005816337652504444
rp_8,0.011843511834740639
rp_9,0.005027050152420998
rp_10,0.004401462618261576
rp_11,0.010148109868168831
rp_12,0.007055397145450115
rp_13,0.008515731431543827
rp_14,0.004198530688881874
rp_15,0.006839296780526638
rp_16,0.004286500625312328
rp_17,0.005692085716873407
rp_18,0.004105661064386368
rp_19,0.0036525134928524494
rp_20,0.004288806114345789
rp_21,0.0037873198743909597
rp_22,0.005045298021286726
rp_23,0.005634096916764975
rp_24,0.009989048354327679
rp_25,0.004857475869357586
rp_26,0.004579802975058556
rp_27,0.005875042174011469
rp_28,0.004526732489466667
rp_29,0.006613792385905981
rp_30,0.005268926732242107
rp_31,0.004877437837421894
rp_32,0.0052290805615484715
rp_33,0.004984008613973856
rp_34,0.0060387044213712215
rp_35,0.004498287569731474
rp_36,0.004916663281619549
rp_37,0.004325027111917734
rp_38,0.0030653642024844885
rp_39,0.006329938303679228
rp_40,0.004182251635938883
rp_41,0.006990449968725443
rp_42,0.005655656568706036
rp_43,0.004979677032679319
rp_44,0.00406367052346468
rp_45,0.006314612925052643
rp_46,0.004911747295409441
rp_47,0.004930549301207066
rp_48,0.00480575580149889
rp_49,0.006232868880033493
rp_50,0.004998284857720137
rp_51,0.005013990681618452
rp_52,0.004111923277378082
rp_53,0.00410057557746768
rp_54,0.00458518136292696
rp_55,0.005095317959785461
ebv,0.02531583234667778
