feature,weight
BIAS,335.3875726539968
bp_1,-236.2388302462457
bp_2,0.40464948459131517
bp_3,-153.98362950557274
bp_4,43.48218498993496
bp_5,191.93944084953347
bp_6,-6.518278845494806
bp_7,-18.614782016148833
bp_8,41.46291651889898
bp_9,39.853825474106856
bp_10,0.5615699276451103
bp_11,-23.124801639172617
bp_12,29.287662349963526
bp_13,72.79142138296417
bp_14,2.124818057867091
bp_15,-29.399277791449364
bp_16,-103.02468806810415
bp_17,86.38213995508323
bp_18,42.17260698605768
bp_19,-105.65617675516127
bp_20,77.586302548077
bp_21,-55.426689099395794
bp_22,44.457416094762614
bp_23,-113.24038493097494
bp_24,-62.300907720712374
bp_25,65.01238058697133
bp_26,3.831574882829232
bp_27,-125.72167565101343
bp_28,-126.80016915669736
bp_29,36.66225234811917
bp_30,-37.10634139967317
bp_31,-8.43337734117163
bp_32,5.425588958759926
bp_33,82.76182678659407
bp_34,22.738976730566606
bp_35,71.39640233191234
bp_36,-51.097280428554015
bp_37,33.65003205730632
bp_38,10.430808045065536
bp_39,21.060776718000255
bp_40,0.2904551789379034
bp_41,41.265310551081946
bp_42,23.77483257568846
bp_43,-26.96101219293137
bp_44,1.836791736161854
bp_45,-13.554052867325542
bp_46,-14.521988043483692
bp_47,11.463820694779816
bp_48,14.236900925248834
bp_49,30.025898453221746
bp_50,15.58142118215624
bp_51,0.9199799634230149
bp_52,-6.718292649194365
bp_53,23.4932780969369
bp_54,-7.922550036126734
bp_55,-1.9810288146820614
rp_1,-236.2388302462457
rp_2,8.022830310893385
rp_3,-17.131688507099838
rp_4,-0.10490875335178473
rp_5,9.995790059819422
rp_6,-57.61968068487319
rp_7,47.20640963067348
rp_8,-131.1648567912322
rp_9,-76.97335638229254
rp_10,-4.520763979033606
rp_11,81.51286250148439
rp_12,3.194242995966386
rp_13,23.061282380082833
rp_14,4.438001741005971
rp_15,-19.90279528468175
rp_16,-74.99074831016365
rp_17,2.325570826343968
rp_18,-36.77347698956196
rp_19,-9.901018662353492
rp_20,-25.69402699808512
rp_21,71.21692656210777
rp_22,16.928413133108222
rp_23,97.08010547356616
rp_24,-66.44345909342377
rp_25,-120.36647131435275
rp_26,29.627415948194606
rp_27,22.589564356046886
rp_28,-52.13929848279292
rp_29,-45.9631419864374
rp_30,-19.342967363442853
rp_31,-10.963921396975843
rp_32,-32.49056793805502
rp_33,-40.91730433570475
rp_34,-20.206422893304687
rp_35,-9.407500899480047
rp_36,-38.28963793215459
rp_37,-7.184666655187919
rp_38,7.694656551110411
rp_39,-4.513594981266488
rp_40,-34.06386876990241
rp_41,11.731606709576633
rp_42,-19.58904003400152
rp_43,-9.691608256524912
rp_44,8.731746206894668
rp_45,-3.188606835738111
rp_46,-17.45692743553632
rp_47,22.842200861427767
rp_48,19.819474121240322
rp_49,-7.49124526573223
rp_50,14.21625905015182
rp_51,-9.926222287009308
rp_52,-10.916532698796177
rp_53,2.2238653450864665
rp_54,-10.526366650793953
rp_55,11.984789460251747
ebv,1.4699169512183434
