feature,weight
BIAS,329.52382826912975
bp_1,-233.67390613228056
bp_2,-2.864498295181088
bp_3,-195.0196118023409
bp_4,27.04482123278664
bp_5,286.3658168812313
bp_6,-175.85561762822542
bp_7,-29.45413316815812
bp_8,23.190372625699855
bp_9,-94.22755616951162
bp_10,-13.692455332829482
bp_11,-2.4441493234111
bp_12,-18.221973349284916
bp_13,57.30643781173938
bp_14,13.53609162784899
bp_15,-55.19151684932353
bp_16,-44.63541172823805
bp_17,36.316337258185094
bp_18,6.506259852461185
bp_19,-87.11552393816766
bp_20,36.27143996293703
bp_21,15.43609119800687
bp_22,60.492266895675726
bp_23,-9.022940381602726
bp_24,-14.786332163837251
bp_25,4.043332420376265
bp_26,-11.90092144517811
bp_27,-29.603637020541374
bp_28,-74.93027955523081
bp_29,22.067266164900946
bp_30,-7.386300314916294
bp_31,-0.27810725539626596
bp_32,34.37395644587619
bp_33,2.0060674598085844
bp_34,4.674083476236137
bp_35,24.039774622263337
bp_36,-6.285605814451965
bp_37,-12.124546544975475
bp_38,-14.048321323257069
bp_39,0.888874944032446
bp_40,-3.699201545907634
bp_41,-2.6391394748368615
bp_42,23.83380671974584
bp_43,8.514021415504038
bp_44,7.657941194068247
bp_45,4.022147583065378
bp_46,-1.7336517387524115
bp_47,-3.4051037059545974
bp_48,-9.634247245461676
bp_49,-6.825863588600455
bp_50,3.9012421549462193
bp_51,-0.84529063126601
bp_52,2.8142474693210167
bp_53,2.654903715198755
bp_54,-2.678865736579719
bp_55,-1.1306619537217837
rp_1,-233.67390613228056
rp_2,0.762249023696758
rp_3,-58.864278264531904
rp_4,42.70150778859911
rp_5,-55.77637104547811
rp_6,-96.19363101014154
rp_7,147.6190979256446
rp_8,-98.005992222001
rp_9,-72.08586834530561
rp_10,-70.69138631975672
rp_11,40.99026382026173
rp_12,-27.27912460358724
rp_13,14.110647005493473
rp_14,36.44740005129188
rp_15,86.42030869844199
rp_16,-44.39574172643011
rp_17,-34.05665896590009
rp_18,-14.178437888150851
rp_19,26.89535286590976
rp_20,-10.473350797406548
rp_21,31.964247655996257
rp_22,-18.19731214843366
rp_23,32.65280780312214
rp_24,-55.191583503740226
rp_25,5.943458494695303
rp_26,-24.93740052106983
rp_27,33.63851427545982
rp_28,-19.087035700522154
rp_29,-0.17349453787332697
rp_30,-23.249889710576177
rp_31,-7.860050023283052
rp_32,-21.33142627797096
rp_33,-11.180929582549275
rp_34,-17.31951077786195
rp_35,10.351522353674019
rp_36,9.648868246749727
rp_37,3.0151705972222196
rp_38,6.897772956066099
rp_39,-12.415899041094116
rp_40,-4.4575082918684
rp_41,17.171607209857147
rp_42,-10.407008202408495
rp_43,-7.306735041183915
rp_44,1.431998273455983
rp_45,-4.480638480774065
rp_46,0.7326373633699025
rp_47,3.7210820203581103
rp_48,2.651996686044264
rp_49,1.8648690318646763
rp_50,6.24178467278973
rp_51,0.7196152029028967
rp_52,-8.42198762786378
rp_53,-0.4619467265875769
rp_54,-1.406725924696325
rp_55,1.1667585630351005
ebv,4.457137321286809
