rho,fold,train_examples,validation_examples,validation_cross_entropy,validation_top1_accuracy,validation_macro_accuracy,optimization_status,accepted_iterations,closure_evaluations,final_gradient_inf_norm
1e-05,0,2904,1453,0.5706974331354708,0.8520302821748107,0.8294250163950306,converged_objective,100,209,1.1276858458586503e-05
1e-05,1,2905,1452,0.5360118585312938,0.8519283746556474,0.8322614896329468,converged_objective,95,197,3.284311242168769e-05
1e-05,2,2905,1452,0.5499932487989486,0.8450413223140496,0.8282044578833646,converged_objective,98,204,2.095318995998241e-05
0.0001,0,2904,1453,0.8964060182393676,0.8513420509291122,0.8251503317212476,converged_objective,55,120,3.246762207709253e-05
0.0001,1,2905,1452,0.8669000806147592,0.8457300275482094,0.823871056118079,converged_objective,54,116,2.352462979615666e-05
0.0001,2,2905,1452,0.8768553947853539,0.8388429752066116,0.8168226389721093,converged_objective,52,110,3.8917572965146974e-05
0.001,0,2904,1453,2.3391326400657366,0.755677907777013,0.7096742533005524,converged_objective,21,46,3.925985947716981e-05
0.001,1,2905,1452,2.3328595050919865,0.7472451790633609,0.7006091748430175,converged_objective,22,50,3.7545745726674795e-05
0.001,2,2905,1452,2.329051796813046,0.7465564738292011,0.6993862521953244,converged_objective,22,49,2.1133047994226217e-05
0.01,0,2904,1453,3.8740023510203003,0.39160357880247765,0.3209409607635879,converged_objective,8,21,1.2367963790893555e-05
0.01,1,2905,1452,3.873625002136173,0.3953168044077135,0.323562219615962,converged_objective,8,29,1.0695424862205982e-05
0.01,2,2905,1452,3.873483843622446,0.36294765840220383,0.2957844004195636,converged_objective,8,44,1.5744473785161972e-05
0.1,0,2904,1453,4.136594666323744,0.12112869924294563,0.08629993824821411,converged_gradient,4,10,1.73225998878479e-07
0.1,1,2905,1452,4.1365571215873835,0.11501377410468319,0.08063851346609967,converged_gradient,4,10,1.6577541828155518e-07
0.1,2,2905,1452,4.136597150655707,0.12534435261707988,0.08984221366117918,converged_gradient,4,10,1.043081283569336e-07
