rho,mean_validation_cross_entropy,std_validation_cross_entropy,mean_validation_top1_accuracy,mean_validation_macro_accuracy
1e-05,0.5522341801552377,0.017451034393788287,0.849666659714836,0.829963654637114
0.0001,0.8800538312131603,0.015010748997430417,0.8453050178946443,0.8219480089371453
0.001,2.3336813139902564,0.005090420176202309,0.7498265202231916,0.7032232267796314
0.01,3.87370373225964,0.0002680695892175615,0.38328934720413166,0.3134291935997045
0.1,4.136582979522278,2.2428053283577064e-05,0.1204956086549029,0.08559355512516431
