iteration,closure_evaluations,objective,weighted_cross_entropy,l2_penalty,gradient_inf_norm,relative_objective_change
0,0,4.174387454986572,4.174387454986572,0.0,0.007428233046084642,
1,5,4.049939155578613,4.049900054931641,3.917536014341749e-05,0.0028348672203719616,0.029812349895623022
2,7,3.940561532974243,3.940387725830078,0.00017372777801938355,0.004033637698739767,0.027007226134177165
3,9,3.4442873001098633,3.4412035942077637,0.0030837662052363157,0.012974398210644722,0.12593997802384366
4,11,2.908540964126587,2.8913025856018066,0.01723836176097393,0.024182230234146118,0.15554635525502983
5,14,2.7133665084838867,2.683574676513672,0.02979186363518238,0.03145434707403183,0.0671039046896524
6,16,2.468360424041748,2.4267642498016357,0.041596245020627975,0.011477331630885601,0.0902959786951294
7,18,2.067002058029175,1.9934697151184082,0.07353229075670242,0.013295268639922142,0.16260119960738156
8,20,1.7908324003219604,1.6743953227996826,0.11643707752227783,0.03113807924091816,0.13360879667944497
9,22,1.6396210193634033,1.5059524774551392,0.13366860151290894,0.011158015578985214,0.08443636653623865
10,24,1.5777206420898438,1.4467060565948486,0.1310146003961563,0.007742980495095253,0.03775285663121891
11,26,1.545034408569336,1.414829969406128,0.13020439445972443,0.0050878203473985195,0.020717377112599435
12,28,1.5287920236587524,1.3983850479125977,0.13040700554847717,0.011788236908614635,0.010512636366217595
13,30,1.510469675064087,1.3757750988006592,0.13469462096691132,0.0030802544206380844,0.011984853604099736
14,32,1.4773809909820557,1.330186367034912,0.14719460904598236,0.005711835343390703,0.02190622203694844
15,34,1.4251422882080078,1.2651385068893433,0.16000381112098694,0.009577110409736633,0.03535899208999796
16,36,1.3177552223205566,1.1170854568481445,0.2006697654724121,0.021876171231269836,0.07535182049960854
17,38,1.2996429204940796,1.0617707967758179,0.2378721386194229,0.013620005920529366,0.01374481506101067
18,40,1.243281364440918,1.0225952863693237,0.22068604826927185,0.008854024112224579,0.043366955003098
19,42,1.2107435464859009,1.0082087516784668,0.20253483951091766,0.005155004560947418,0.026170920666577176
20,44,1.194158673286438,0.9963884353637695,0.19777019321918488,0.004200621973723173,0.013698089283729271
21,46,1.179444432258606,0.9774787425994873,0.20196567475795746,0.002339066006243229,0.012321847470518338
22,48,1.165173053741455,0.9564115405082703,0.20876148343086243,0.005351552739739418,0.012100085537579379
23,50,1.143951177597046,0.9249533414840698,0.2189977914094925,0.008976808749139309,0.018213497193626475
24,52,1.1029236316680908,0.8592491149902344,0.24367453157901764,0.006678211968392134,0.03586477004651237
25,54,1.069746494293213,0.8082927465438843,0.2614537179470062,0.010330778546631336,0.030081083061662166
26,56,1.044198751449585,0.7796080112457275,0.2645907402038574,0.004321826621890068,0.02388205334620653
27,58,1.0353642702102661,0.7743301391601562,0.2610341012477875,0.0017759636975824833,0.00846053610680398
28,60,1.0305873155593872,0.7708868980407715,0.2597004473209381,0.0011177165433764458,0.00461379128903954
29,62,1.0215831995010376,0.761844277381897,0.259738951921463,0.003222879720851779,0.008736878401673623
30,64,1.007956862449646,0.7433226108551025,0.26463425159454346,0.004953403957188129,0.013338450610823461
31,66,0.9868212342262268,0.709286093711853,0.2775351405143738,0.006512356922030449,0.02096878250528807
32,68,0.9773231148719788,0.6830588579177856,0.2942642569541931,0.008883122354745865,0.009498119354248047
33,70,0.9615085124969482,0.664625883102417,0.29688265919685364,0.006118353921920061,0.015814602375030518
34,72,0.9518471360206604,0.6556366682052612,0.29621046781539917,0.004007745999842882,0.009661376476287842
35,74,0.9453426599502563,0.647379994392395,0.29796263575553894,0.003208570647984743,0.006504476070404053
36,76,0.9400036334991455,0.6361362934112549,0.303867369890213,0.002501084003597498,0.00533902645111084
37,78,0.9335248470306396,0.6224473118782043,0.3110775649547577,0.0032370896078646183,0.006478786468505859
38,80,0.926245391368866,0.609838604927063,0.316406786441803,0.0035503138788044453,0.007279455661773682
39,82,0.9175615310668945,0.5916991233825684,0.32586240768432617,0.003288599196821451,0.008683860301971436
40,84,0.9076319932937622,0.5726853013038635,0.3349466621875763,0.0028124891687184572,0.009929537773132324
41,86,0.9011772871017456,0.5637068748474121,0.3374704122543335,0.0013044526567682624,0.0064547061920166016
42,88,0.8977965712547302,0.562252938747406,0.3355436325073242,0.0008159204735420644,0.003380715847015381
43,90,0.8957072496414185,0.5621540546417236,0.33355316519737244,0.0010428429814055562,0.0020893216133117676
44,92,0.8924391269683838,0.5607202649116516,0.33171889185905457,0.001348169520497322,0.003268122673034668
45,94,0.8873696327209473,0.5550365447998047,0.3323330879211426,0.0023173538502305746,0.0050694942474365234
46,96,0.8820511698722839,0.5433045625686646,0.3387466073036194,0.002555076964199543,0.00531846284866333
47,98,0.8771719932556152,0.5308361053466797,0.34633588790893555,0.0019276842940598726,0.004879176616668701
48,100,0.8747745752334595,0.5223890542984009,0.3523854911327362,0.0005658458103425801,0.0023974180221557617
49,102,0.8737845420837402,0.5188425779342651,0.3549419343471527,0.0004911227151751518,0.0009900331497192383
50,104,0.8724929094314575,0.5151565074920654,0.3573364317417145,0.0009661830845288932,0.0012916326522827148
51,106,0.869800329208374,0.5082600712776184,0.3615402579307556,0.001493352116085589,0.002692580223083496
52,108,0.8661782741546631,0.49801480770111084,0.36816349625587463,0.0017920954851433635,0.0036220550537109375
53,110,0.8630496859550476,0.49056702852249146,0.37248265743255615,0.0015110453823581338,0.0031285881996154785
54,112,0.8609381914138794,0.4903705418109894,0.3705676794052124,0.0008493164787068963,0.002111494541168213
55,114,0.8599189519882202,0.49290505051612854,0.3670139014720917,0.0005795612814836204,0.0010192394256591797
56,116,0.8593281507492065,0.4931212365627289,0.36620694398880005,0.0006496355636045337,0.0005908012390136719
57,118,0.8570473194122314,0.49248233437538147,0.36456498503685,0.0015672965673729777,0.0022808313369750977
58,120,0.8553671836853027,0.48990190029144287,0.36546531319618225,0.0014642651658505201,0.001680135726928711
59,122,0.853898823261261,0.485646516084671,0.36825230717658997,0.001133629004471004,0.001468360424041748
60,124,0.8531075119972229,0.4803464710712433,0.3727610409259796,0.0007192133343778551,0.0007913112640380859
61,126,0.8526715040206909,0.4766533076763153,0.3760181665420532,0.00038518811925314367,0.0004360079765319824
62,128,0.8522962331771851,0.47347313165664673,0.37882307171821594,0.0006197207258082926,0.0003752708435058594
63,130,0.8517605066299438,0.4699510931968689,0.38180944323539734,0.0007617762894369662,0.0005357265472412109
