n_queries,n_labeled,production_max_iter,reference_extra_iter,production_time_s,reference_time_s,prod_dual_objective,ref_dual_objective,objective_gap_to_ref,prod_grad_inf,ref_grad_inf,prod_grad_l1,ref_grad_l1,prod_raw_weight_sum,ref_raw_weight_sum,prod_ess,ref_ess,prod_returned_ess,ref_returned_ess,weight_distribution_l1_diff,weight_distribution_l2_diff,weight_distribution_linf_diff
0,384396,16,32,40.930441768839955,80.43274272419512,-0.03645466624525784,-0.05019663783641038,0.013741971591152542,0.028809603303670883,0.02429467998445034,1.7277461354017305,1.4675175569046814,1.0000001979980198,1.0000001286238103,11041.726584274413,7428.219290565431,11041.726195393103,7428.219284570038,0.3655322074771807,0.005368996005210204,0.0008808504664357468
15,384411,8,32,20.238942923024297,80.08285938575864,-0.04079749120112364,-0.051524735924800336,0.010727244723676699,0.030888088047504425,0.043886613100767136,1.6498350599486002,1.4092747807221713,1.0000368569326383,1.0000267469607707,10028.775476978337,6952.490420964526,10028.775537529744,6952.490322477413,0.3487635099165372,0.004937000035032407,0.0008983842974727317
30,384426,8,32,20.463259791955352,80.99646379239857,-0.043771204900068986,-0.05336563064512899,0.009594425745060003,0.026865888386964798,0.018652528524398804,1.5921628273521264,1.320757491919153,1.0000712871432142,1.0000496446244824,9238.31800248409,6475.440503597124,9238.318480800333,6475.4404460431115,0.3584647091062247,0.004716239743956204,0.0007598749603686385
45,384441,8,32,20.14025179296732,80.40105788223445,-0.046121267889572784,-0.05365945705078805,0.007538189161215264,0.07720845937728882,0.03909730538725853,1.5102255286906257,1.2704251029746274,1.000104133857576,1.0000727654239654,8648.054058602289,6195.631568461361,8648.053911239524,6195.631479311546,0.33681211863856236,0.004677650826330337,0.0017787173270497492
60,384456,8,32,20.439410403370857,80.11172907240689,-0.04756778283219407,-0.0544502784783287,0.006882495646134634,0.02546415477991104,0.02224856987595558,1.4428229815061968,1.2664716728060057,1.000135707406912,1.0000899430208392,8179.7865693227595,5858.794822773895,8179.786594128905,5858.794870914762,0.3584406159229475,0.004451264945879887,0.0008412618863521791
